,PG,MRK,F,KO,TSLA,GIS,AMZN
0,0.34813231548743073,0.16389428356788877,0.0,0.0,0.08727646238015417,0.0,0.4006969385645263
1,0.37357352808945543,0.12540071294189145,0.0,0.0,0.06665395473736295,0.0,0.43437180423129024
2,0.3413617249359911,0.21053380479894054,0.0,0.0,0.0,0.0,0.4481044702650685
3,0.38296273207044673,0.21179632605994425,0.0,0.0,0.0,0.0,0.405240941869609
4,0.4097411867868276,0.22305322171267192,0.0,0.0,0.0004935055441106569,0.0,0.36671208595638993
5,0.4163328838344113,0.2338810147783176,0.0,0.0,0.006950871527818804,0.0,0.34283522985945214
6,0.4924819297310899,0.18244679036447745,0.0,0.0,0.0,0.0,0.3250712799044326
7,0.5870275348155837,0.051305640853253856,0.0,0.0,0.0,0.0,0.3616668243311625
8,0.5903344020195334,0.01874770737405761,0.0,0.0,0.0,0.0,0.390917890606409
9,0.5524416299838448,0.03283055595747314,0.0,0.0,0.012902887556479697,0.0,0.4018249265022022
10,0.5170051895177227,0.0,0.0,0.0,0.03794720518502239,0.0,0.445047605297255
11,0.45859881919871137,0.0,0.0,0.0,0.057339801496453166,0.0,0.48406137930483545
12,0.4782665882971751,0.0,0.0,0.0,0.012558984681497253,0.0,0.5091744270213276
13,0.4811772069562945,0.0,0.0,0.0,0.005211865114089278,0.0,0.5136109279296163
14,0.4596565806131284,0.0,0.0,0.0,0.008669197057583858,0.0,0.5316742223292877
15,0.43132674001117943,0.0,0.0,0.0,0.02887486459113556,0.0,0.539798395397685
16,0.3850483756364134,0.0,0.0,0.0,0.032187116398625835,0.0,0.5827645079649607
17,0.37456309240315677,0.0,0.0,0.0,0.05158558978990924,0.0,0.5738513178069339
18,0.37838153808925074,0.0,0.0,0.0,0.04497944738443968,0.0,0.5766390145263096
19,0.43912479657874,0.0,0.0,0.0,0.04523554697618367,0.0,0.5156396564450763
20,0.42600566552774255,0.0,0.0,0.0,0.07457981122621667,0.0,0.4994145232460408
21,0.4397808760469936,0.0,0.0,0.0,0.09099775072965448,0.0,0.46922137322335195
22,0.38810163047630447,0.0,0.0,0.0,0.11548969002622582,0.0,0.49640867949746975
23,0.388324922440121,0.0,0.0,0.0,0.09447468335831999,0.0,0.5172003942015589
24,0.45703404234548706,0.0,0.0,0.0,0.07558652824603736,0.0,0.46737942940847566
25,0.45493078363822775,0.0,0.0,0.0,0.08182527220930416,0.0,0.4632439441524682
26,0.5482297670382038,0.0,0.0,0.0,0.06248028898770565,0.0,0.3892899439740908
27,0.5121737767192887,0.01511429413084183,0.0,0.0,0.06657206575044364,0.0,0.4061398633994258
28,0.5580120828905809,0.0,0.0,0.0,0.08026524429342499,0.0,0.36172267281599424
29,0.571837596730758,0.0,0.0,0.0,0.0759316725513424,0.0,0.35223073071789957
30,0.5401102068612684,0.011716051329253772,0.0,0.0,0.09579299641160223,0.0,0.3523807453978758
31,0.3570475507100541,0.1114277617396238,0.035929074040656664,0.0,0.12157467122624019,0.0,0.3740209422834251
32,0.4286027812240759,0.0,0.03618709096018757,0.0,0.1199560886780297,0.0,0.4152540391377067
33,0.5029098975698412,0.0,0.03582688230464674,0.0,0.09561168592509252,0.0,0.36565153420041957
34,0.5421763984079033,0.025495930982213665,0.030572640403229004,0.0,0.09727437847373462,0.0,0.3044806517329195
35,0.5721659078780843,0.0,0.0,0.0,0.11442143557198205,0.0,0.3134126565499336
36,0.5108192747736654,0.0,0.005916805073784491,0.0,0.14454293798405635,0.0,0.33872098216849383
37,0.600245590362188,0.07188296100309652,0.0,0.0,0.1303914991216601,0.0,0.19747994951305534
38,0.5048797176401538,0.12884533121887165,0.0,0.0,0.15302145111414378,0.0,0.21325350002683074
39,0.47120434640689157,0.15229577919219567,0.0,0.05449600474343749,0.18896486723604075,0.0,0.13303900242143465
40,0.4374133940990781,0.19106186664066696,0.0,0.0,0.17724097473811692,0.0,0.19428376452213791
41,0.5610527905235991,0.06352824535605789,0.0,0.009236049324322827,0.17905834861473746,0.0,0.18712456618128265
42,0.36298445783389544,0.19053940984721227,0.0,0.0,0.20424162834754805,0.08247318112924167,0.15976132284210273
43,0.3372334026795971,0.28438879584012594,0.0,0.0,0.1582335277814501,0.098229981029976,0.12191429266885077
44,0.3594260375286237,0.25756841589698726,0.0,0.0,0.13955767274939088,0.1464829577548308,0.09696491607016745
45,0.4201664715860784,0.31408146312859514,0.0,0.0,0.07661743796240648,0.09896754252038799,0.09016708480253188
46,0.4004847540544743,0.3220158963484586,0.0,0.0,0.08409323664332555,0.06515512844125712,0.12825098451248435
47,0.34911340264829277,0.2870339961958986,0.0,0.0,0.13280707718102527,0.18701347820276906,0.044032045772014215
48,0.3675029584778884,0.24458445491366526,0.0,0.0,0.10054325485931066,0.2056373140003405,0.08173201774879524
49,0.31645160251312054,0.2982691748135519,0.0,0.0,0.08289011873407992,0.20914598639140505,0.0932431175478424
50,0.17156820269618747,0.3172376100995484,0.0,0.0,0.09169489150849952,0.2861955938072339,0.13330370188853083
