,KO,TSLA,PG,ABBV,CAT,MA,F
0,0.0,0.06768430005718443,0.2266980723068995,0.0,0.0,0.7056176276359162,0.0
1,0.0,0.04809834348036527,0.2162955409740918,0.0,0.0,0.7356061155455431,0.0
2,0.0,0.0,0.20641591500761294,0.0,0.0,0.7935840849923871,0.0
3,0.008251839448192435,0.0,0.2484571571811546,0.0,0.0,0.743291003370653,0.0
4,6.674488395116103e-05,0.012709166938796793,0.26984067918750215,0.0,0.0,0.71738340898975,0.0
5,0.04297175551521827,0.020704132919110982,0.2406091448547822,0.0,0.0,0.6957149667108886,0.0
6,0.0,0.02179496822917932,0.33915811759233644,0.0,0.0,0.6390469141784842,0.0
7,0.10536613633496525,0.0,0.299334995500106,0.007467613953800018,0.0,0.5878312542111288,0.0
8,0.09443829354539922,0.0,0.27704757625395543,0.01713140250358222,0.0,0.6113827276970631,0.0
9,0.10398019691617227,0.017788846878267255,0.23911662622152902,0.0,0.0,0.6391143299840315,0.0
10,0.04621276778468895,0.03568519520913936,0.23498853177101167,0.0,0.0,0.6831135052351601,0.0
11,0.0,0.058162205686952934,0.1904070150868554,0.012164183868154597,0.0,0.7392665953580372,0.0
12,0.0,0.008361358642315192,0.2849855030242476,0.0,0.0,0.7066531383334373,0.0
13,0.0,0.017253953564427077,0.3007191161355378,0.005079611373027077,0.0,0.676947318927008,0.0
14,0.0,0.0054138170580681575,0.22596001507811328,0.0031890475303548685,0.0,0.7654371203334636,0.0
15,0.0,0.04733400714130073,0.23414156651832158,0.0,0.0,0.7185244263403777,0.0
16,0.0,0.06294879554250457,0.26756846010467006,0.0,0.0,0.6694827443528254,0.0
17,0.0,0.058998313561671185,0.2486337176120591,0.0,0.0,0.6923679688262696,0.0
18,0.0,0.05728972488995165,0.2719831919822703,0.0,0.0,0.6707270831277781,0.0
19,0.0,0.06424956877046638,0.3924130730387721,0.0,0.11090320157337565,0.4324341566173861,0.0
20,0.0,0.08016844670390458,0.3936358162388606,0.0,0.11799150559760131,0.40820423145963347,0.0
21,0.0,0.08782737591435559,0.39469070090874014,0.0,0.12447381282722991,0.39300811034967437,0.0
22,0.0,0.13077169839212302,0.37799178405456263,0.0,0.16647377905937535,0.3247627384939391,0.0
23,0.0,0.09730615293493626,0.3390531241523871,0.0,0.20399128518292767,0.35964943772974883,0.0
24,0.0,0.08188943763222359,0.3936558478287694,0.0,0.2126165996300975,0.31183811490890967,0.0
25,0.0,0.08503230037310183,0.38653586232586123,0.0,0.23384934127027637,0.29458249603076064,0.0
26,0.0,0.06741742516860195,0.4613146766953066,0.0,0.23407813761529492,0.23718976052079668,0.0
27,0.0,0.07127646627685869,0.4283786396060618,0.02476609268142431,0.24379968101627977,0.2317791204193755,0.0
28,0.0,0.07988228686419306,0.4456341676861107,0.034172527603538845,0.20746726220742215,0.23284375563873516,0.0
29,0.0,0.07946600333662912,0.48245672973578374,0.07155892375128708,0.20845010552364418,0.15806823765265585,0.0
30,0.0,0.09930243919706538,0.42741506701883636,0.00792556680453323,0.24684067208032706,0.2185162548992381,0.0
31,0.0,0.1424712398918555,0.33642771819545475,0.0,0.3051821800310258,0.2159188618816641,0.0
32,0.0,0.1413559610255259,0.3938166720900727,0.04423596820139671,0.23081110990475673,0.18978028877824799,0.0
33,0.0,0.12111471674772374,0.4222749042251604,0.06675070353951482,0.19697857495309018,0.19288110053451088,0.0
34,0.0,0.10404880348137593,0.42473867408554244,0.0529417240920501,0.17646964759493552,0.24180115074609593,0.0
35,0.0,0.11200505408656296,0.4116490350080341,0.0912446150674758,0.1715394971533983,0.2135617986845287,0.0
36,0.0,0.13050539537443956,0.33091817710682647,0.09192625326221066,0.19011785029338113,0.25653232396314224,0.0
37,0.0,0.10536731549030444,0.40072458904715574,0.06959469909097164,0.1569711989997885,0.2673421973717796,0.0
38,0.0,0.11783569989607685,0.3061060786754468,0.07622906844560846,0.19809557469268552,0.30173357829018227,0.0
39,0.0,0.13104854404645333,0.37023268926197755,0.221875586714492,0.04395505411162517,0.2328881258654521,0.0
40,0.0,0.1452876191958894,0.3549483102682787,0.22050023185554204,0.09650067482490404,0.18276316385538588,0.0
41,0.0,0.15204742242561328,0.4350130533980194,0.2033992776786665,0.015469366891744836,0.19407087960595612,0.0
42,0.0,0.1861397162324723,0.3888430808911791,0.2646743929922307,0.0,0.16034280988411792,0.0
43,0.0,0.13728009449199102,0.366505789515352,0.26271193690289063,0.043333462883824496,0.1901687162059419,0.0
44,0.0,0.11852775633077056,0.382090204011392,0.2707315989969365,0.046771928024562,0.1818785126363391,0.0
45,0.0,0.066241474813876,0.4310594496488372,0.2535085089478766,0.07750223613483323,0.1716883304545769,0.0
46,0.0,0.08942094116195659,0.39483884058259555,0.21598961631897973,0.07876704657092456,0.22098355536554362,0.0
47,0.0,0.10667032743745848,0.3939973385680695,0.26617746367439027,0.05558766009326467,0.17756721022681704,0.0
48,0.0,0.0955426013246745,0.45377865388689126,0.2359880728652056,0.02163140772719846,0.1930592641960301,0.0
49,0.0,0.08475194755786811,0.4705744662393462,0.23644138161547504,0.0,0.2082322045873106,0.0
50,0.0,0.12375788488167129,0.4182024226634517,0.21077503081411544,0.0,0.2472646616407617,0.0
