,CAT,CSCO,PG,ABBV,GIS,MSFT,NVDA
0,0.0,0.13440918563606705,0.29214758858570733,0.0033313633286634076,0.0,0.28600132297199715,0.28411053947756515
1,0.0,0.0846549230236588,0.2208823438518228,0.0,0.0,0.4410666014250126,0.253396131699506
2,0.0,0.13819318676537443,0.20495478051785568,0.0,0.0,0.4659244911080764,0.1909275416086935
3,0.0,0.1268209858806261,0.24413305355200626,0.0,0.0,0.4461340958789737,0.18291186468839404
4,0.0,0.1633585768341306,0.25720984690846854,0.0,0.0,0.38461629973264366,0.19481527652475725
5,0.0,0.08194358416162255,0.28789118054361823,0.0,0.0,0.41646795348215426,0.21369728181260506
6,0.0,0.054379703703301405,0.3440172878343919,0.0,0.0,0.4019184261472261,0.19968458231508057
7,0.0,0.035669356229107274,0.41148033163053627,0.0,0.0,0.33855178138872116,0.2142985307516353
8,0.0,0.004428987609337857,0.37968719109426524,0.01479022130512124,0.0,0.3990869138184838,0.20200668617279194
9,0.0,0.020495350898057946,0.38725789237286334,0.014188055557969368,0.0,0.35349276390267703,0.22456593726843233
10,0.0,0.0,0.34211214857824546,0.0,0.0,0.45023718348667296,0.2076506679350817
11,0.0,0.0,0.29711542512811795,0.0,0.0,0.4318906239653702,0.2709939509065118
12,0.0,0.0,0.31652262851231333,0.0,0.0,0.3951713392185265,0.28830603226916024
13,0.0,0.0,0.357039322357197,0.0,0.0,0.3397568025473463,0.30320387509545665
14,0.0,0.0,0.3321075789805592,0.0,0.0,0.3380746287800887,0.3298177922393521
15,0.0,0.0,0.3332902459970631,0.0,0.0,0.3288168515971376,0.3378929024057994
16,0.0,0.0,0.3490645684747479,0.0,0.0,0.3097882876985994,0.34114714382665257
17,0.0,0.0,0.3224223749307627,0.0,0.0,0.3272469156262908,0.35033070944294636
18,0.0,0.0,0.34718582565506634,0.0,0.0,0.2734534177635762,0.37936075658135754
19,0.0,0.0,0.3660628121776072,0.0,0.0,0.3379360073856255,0.2960011804367672
20,0.0,0.0,0.3680313965865831,0.0,0.0,0.34273150664233676,0.28923709677108006
21,0.0,0.0,0.361911359792118,0.0,0.0,0.3876197440129773,0.25046889619490464
22,0.0,0.0,0.3012972366972127,0.0,0.0,0.4360488049552149,0.2626539583475725
23,0.0,0.0,0.26521980620875235,0.0,0.0,0.4705841361592633,0.26419605763198434
24,0.0,0.0,0.295872060736864,0.0,0.0,0.4582001665726238,0.2459277726905122
25,0.0,0.0,0.315124225268346,0.0,0.0,0.42047893622317745,0.2643968385084766
26,0.017224140010123113,0.0,0.34591396619798603,0.0,0.0,0.42592437838224295,0.2109375154096479
27,0.04385765324405741,0.0,0.32859181750270927,0.0,0.0,0.4237608723591131,0.20378965689412015
28,0.03316721857486362,0.0,0.3338291134410635,0.005375988939486113,0.0,0.4534515189230161,0.17417616012157075
29,0.030915354543936378,0.0,0.3387694992218211,0.014535331467529932,0.0,0.44700146020412196,0.16877835456259055
30,0.027786577684979368,0.0,0.33423062941126713,0.0,0.0,0.45037976397092555,0.18760302893282788
31,0.05093781883469495,0.004176769870617408,0.31758363189731387,0.0,0.0,0.4096750468035303,0.2176267325938435
32,0.0,0.0,0.31650635831516544,0.0,0.0,0.4697784039647225,0.21371523772011214
33,0.0,0.0,0.35630921822896516,0.029100812446014125,0.0,0.43554759968406453,0.17904236964095613
34,0.0,0.0,0.33447720782458207,0.011859464231072628,0.0,0.5239070289379968,0.1297562990063484
35,0.0,0.0,0.3281592386820882,0.043778578017608184,0.0,0.5018788879522439,0.12618329534805972
36,0.0,0.0,0.27789709844772026,0.05575558864914869,0.0,0.5411426720400341,0.1252046408630969
37,0.0,0.0,0.3503291388557608,0.04837572911574165,0.0,0.5317006392555965,0.06959449277290101
38,0.015969280146065114,0.0,0.28028933647813026,0.056924041634576615,0.0,0.5834135947658512,0.06340374697537682
39,0.0,0.0,0.23582051216253805,0.10044060068856264,0.0,0.6510076429598757,0.012731244189023667
40,0.0,0.0,0.24482451907450867,0.11557061632995598,0.0,0.616738123451638,0.022866741143897175
41,0.0,0.0,0.28609371826596214,0.08884708300313592,0.0,0.6250591987309021,0.0
42,0.0,0.0,0.21663248460384307,0.1250656068271485,0.020893954874744096,0.6374079536942644,0.0
43,0.0,0.0,0.22397402004072048,0.15619023345780522,0.047898105007209375,0.5719376414942648,0.0
44,0.0,0.0,0.16770782629771933,0.1492724391905001,0.09248859782730486,0.5905311366844758,0.0
45,0.0,0.0,0.23083190409172896,0.15601744163680936,0.07866041614588062,0.5344902381255808,0.0
46,0.0,0.0,0.22481818085147198,0.12900719485931317,0.0602076229189136,0.5699555718817597,0.016011429488541465
47,0.0,0.0,0.15607891645319127,0.14313999296040472,0.10793198320048701,0.592849107385917,0.0
48,0.0,0.0,0.15040898515549025,0.10613643285040349,0.12881543025007725,0.614639151744029,0.0
49,0.0,0.0,0.13979103508322713,0.10126754841948396,0.14713990697767634,0.6118015095196125,0.0
50,0.0,0.0,0.02491469387736262,0.052881967864632694,0.20911980547709533,0.7130835327809093,0.0
