,CVX,NVDA,WMT,PG,GLW,DIS,FDX
0,0.0,0.37809180177279994,0.0,0.3730833759735511,0.010065763867811715,0.23875905838583736,0.0
1,0.0,0.36935190783990357,0.0,0.3311285844107432,0.0,0.29951950774935326,0.0
2,0.0,0.2987955769796781,0.07524543464792932,0.27998470899859906,0.0,0.34597427937379366,0.0
3,0.0,0.2986069804745536,0.059673850345540326,0.3348607643579262,0.0,0.30685840482197996,0.0
4,0.0,0.3139625870805306,0.03300690251416042,0.36445860164630856,0.0,0.2885719087590006,0.0
5,0.0,0.3240849151953915,0.036982412845381854,0.37706841969014926,0.0,0.2618642522690774,0.0
6,0.0,0.3190928694425453,0.06716098744027436,0.4601787708990548,0.0,0.1535673722181257,0.0
7,0.0,0.30055360029949674,0.06531296931194855,0.48853770404676194,0.0,0.14559572634179274,0.0
8,0.0,0.29154615399927336,0.07922070657427904,0.4415384162849991,0.0,0.1876947231414485,0.0
9,0.0,0.3134323068440747,0.058796484384023184,0.45538528600163974,0.0,0.17238592277026252,0.0
10,0.0,0.3348167298043566,0.009983623452077688,0.48607620075959984,0.0,0.16912344598396603,0.0
11,0.0,0.42293848934798756,0.02081678171663241,0.4988040172028933,0.0,0.05744071173248679,0.0
12,0.0,0.4172237770795008,0.10377927445075791,0.4789969484697414,0.0,0.0,0.0
13,0.0,0.4012599558644897,0.11537594187181564,0.48336410226369464,0.0,0.0,0.0
14,0.0,0.42204159653797285,0.1280493651080411,0.4499090383539861,0.0,0.0,0.0
15,0.0,0.43934066150113216,0.07486854272952556,0.48579079576934225,0.0,0.0,0.0
16,0.0,0.436628821460836,0.09593624827837482,0.46743493026078914,0.0,0.0,0.0
17,0.0,0.4682752316884007,0.03718228875060384,0.4945424795609955,0.0,0.0,0.0
18,0.0,0.4682801724951402,0.06569233556290964,0.46602749194195014,0.0,0.0,0.0
19,0.0,0.4263724865895267,0.021178897273004375,0.552448616137469,0.0,0.0,0.0
20,0.0,0.40392775086522853,0.08572135582419736,0.5103508933105741,0.0,0.0,0.0
21,0.0,0.39653258932294194,0.027949281260503826,0.5755181294165543,0.0,0.0,0.0
22,0.0,0.41437229939793396,0.08287438251209549,0.5027533180899705,0.0,0.0,0.0
23,0.0,0.4370814700331862,0.06825321578025338,0.4937823256502551,0.0,0.0008829885363054647,0.0
24,0.0,0.40534965969888437,0.09683004806752435,0.49782029223359114,0.0,0.0,0.0
25,0.0,0.4117602050463852,0.08760577835975364,0.5006340165938613,0.0,0.0,0.0
26,0.0,0.3571752751010877,0.14164192812239204,0.5011827967765203,0.0,0.0,0.0
27,0.0,0.36466054782547636,0.13923310449796714,0.4961063476765566,0.0,0.0,0.0
28,0.0,0.3333130843984654,0.19923705076316836,0.46744986483836626,0.0,0.0,0.0
29,0.0,0.33087203266002035,0.1927963533445976,0.476331613995382,0.0,0.0,0.0
30,0.0,0.35087572329492084,0.15613803444744803,0.4929862422576311,0.0,0.0,0.0
31,0.0,0.4096242670823277,0.05321761430949567,0.5371581186081766,0.0,0.0,0.0
32,0.0,0.41048806266431287,0.0398691482785856,0.5496427890571014,0.0,0.0,0.0
33,0.0,0.3677968301424054,0.029924206805172864,0.6022789630524218,0.0,0.0,0.0
34,0.0,0.34466714967702455,0.03410127905436677,0.6212315712686086,0.0,0.0,0.0
35,0.013107345727972989,0.34890033351831884,0.014454824693049801,0.6235374960606584,0.0,0.0,0.0
36,0.031689669910830394,0.3566367640677768,0.06050746002229598,0.551166105999097,0.0,0.0,0.0
37,0.02387868004382716,0.2595681350766514,0.14673998269991625,0.5698132021796053,0.0,0.0,0.0
38,0.10615985888246524,0.29664479344382644,0.016845560288710818,0.5803497873849975,0.0,0.0,0.0
39,0.03633833661010062,0.3026356864467337,0.015310657854590312,0.6457153190885754,0.0,0.0,0.0
40,0.04973370672314221,0.28946452850073,0.08616732414594797,0.5746344406301799,0.0,0.0,0.0
41,0.036832968637903106,0.2291099700151455,0.13460159032001218,0.5994554710269391,0.0,0.0,0.0
42,0.003041600874233483,0.19540201000854385,0.32539307025188835,0.4761633188653344,0.0,0.0,0.0
43,0.06504329374504669,0.17310600817955415,0.3851389504108351,0.3767117476645641,0.0,0.0,0.0
44,0.05725764804877082,0.21008341881746817,0.32856143421788114,0.40409749891587987,0.0,0.0,0.0
45,0.08392494682511095,0.18056867555507444,0.2237521637334369,0.5117542138863779,0.0,0.0,0.0
46,0.06947756222653588,0.24824758752081588,0.14328399149350574,0.5389908587591423,0.0,0.0,0.0
47,0.05628892599037577,0.2649508944860942,0.1363302409748102,0.54242993854872,0.0,0.0,0.0
48,0.03470666797431889,0.26281104643661535,0.14448482305841887,0.557997462530647,0.0,0.0,0.0
49,0.03719603862961421,0.24829945741670412,0.1324724406535498,0.5820320633001319,0.0,0.0,0.0
50,0.009326882812439942,0.30711011416201883,0.1701253648891502,0.5134376381363911,0.0,0.0,0.0
