,AA,PEP,INTC,JNJ,NVDA,BAC,TMO
0,0.0,0.1895263866078232,0.09548260876115863,0.11207939795115412,0.2948059095370129,0.0,0.3081056971428511
1,0.0,0.31719391768657784,0.09350867408901656,0.0,0.3054271754541437,0.0,0.28387023277026197
2,0.0,0.40496553172000627,0.04301746799248906,0.0,0.23574128046995535,0.0,0.3162757198175492
3,0.0,0.420179281339939,0.028375288261808827,0.0,0.24267631433875783,0.0,0.30876911605949436
4,0.0,0.40622651269294086,0.05213804923987898,0.0,0.28494363731062244,0.0013499159880435935,0.2553418847685141
5,0.0,0.46243859340192905,0.034884684312918336,0.0,0.2715804208287163,0.0,0.23109630145643623
6,0.0,0.5220246327439843,0.03933829451499027,0.0,0.282621902714233,0.0,0.15601517002679233
7,0.0,0.5440919283089142,0.08899576333326358,0.0,0.2797300272325838,0.0,0.08718228112523842
8,0.0,0.5404762152466634,0.10738946640613029,0.0,0.27096288195226714,0.0,0.08117143639493916
9,0.0,0.48294766270001954,0.08051290298132723,0.0,0.2926427000815511,0.0,0.14389673423710223
10,0.0,0.474514274638479,0.09690627844942636,0.0,0.2767980281585418,0.0,0.1517814187535527
11,0.0,0.4769328463039169,0.0033638869679763136,0.0,0.3885065242776508,0.0,0.1311967424504561
12,0.0,0.3349859460422015,0.0,0.0,0.46219020813217543,0.0,0.20282384582562304
13,0.0,0.3783715174075766,0.0,0.0,0.46146397735803474,0.0,0.16016450523438883
14,0.0,0.311741906691402,0.0,0.0,0.47465259475240484,0.0,0.2136054985561931
15,0.0,0.3030681024590571,0.0,0.0,0.49332477639698435,0.0,0.20360712114395849
16,0.0,0.20333138971273584,0.0,0.0,0.4779280507070807,0.0,0.3187405595801835
17,0.0,0.22189225597197,0.0,0.0,0.5104046648328255,0.0,0.26770307919520436
18,0.0,0.26552387347050943,0.0,0.0,0.47285785471332165,0.0,0.26161827181616887
19,0.0,0.14377607449978522,0.0,0.0,0.461140180497797,0.0,0.3950837450024179
20,0.0,0.22141488085208788,0.0,0.0,0.448545902645689,0.0,0.3300392165022231
21,0.0,0.33902448651173694,0.0,0.0,0.43478227436406214,0.0,0.2261932391242008
22,0.0,0.14277965440032517,0.0,0.0,0.4107320227325842,0.0,0.4464883228670907
23,0.0,0.14997128639741786,0.0,0.0,0.505275332345558,0.0,0.34475338125702426
24,0.0,0.3078492359702557,0.0,0.0,0.46212547865523074,0.0,0.2300252853745137
25,0.0,0.32103677667513153,0.0,0.0,0.4966976521729035,0.0,0.18226557115196496
26,0.0,0.3150030997950686,0.0,0.0,0.44536084659793457,0.0,0.23963605360699675
27,0.0,0.2827693175239997,0.0,0.0,0.43890598796106867,0.0,0.2783246945149316
28,0.0,0.28762320794938806,0.0,0.0,0.4037124418599868,0.0,0.3086643501906252
29,0.0,0.3115792027009982,0.0,0.0,0.40829912091489634,0.0,0.28012167638410534
30,0.0,0.24463975717992906,0.0,0.0,0.3961137171686595,0.0,0.35924652565141135
31,0.0,0.1925751598599139,0.0,0.0,0.40517514108938857,0.0,0.4022496990506975
32,0.0,0.18637344464402975,0.0,0.0,0.3980647673719906,0.021207513533569783,0.39435427445040994
33,0.0,0.2341306638549549,0.014362235041939807,0.0,0.3447386137793688,0.014549362811009854,0.39221912451272656
34,0.0,0.336425479922632,0.010891498437042457,0.0,0.35192521882239974,0.04254369788729495,0.25821410493063085
35,0.0,0.3198572747872828,0.0020633945231396966,0.0,0.3773049235891807,0.04844565921956467,0.25232874788083215
36,0.0,0.2263067296051306,0.0,0.0,0.3714677208931453,0.07447132755572536,0.3277542219459987
37,0.0,0.33998541111955066,0.0,0.0,0.2915158876099418,0.03359946567910038,0.33489923559140705
38,0.0,0.29623312954964515,0.0,0.0,0.26882692087878424,0.014146745223544529,0.4207932043480261
39,0.0,0.30408741457245286,0.0,0.0,0.233896923697509,0.0,0.46201566173003805
40,0.0,0.2616864381523411,0.0,0.0,0.20366011017388838,0.0,0.5346534516737705
41,0.0,0.32884542256404486,0.0,0.0,0.11810265490935755,0.0,0.5530519225265975
42,0.0,0.2148935488349432,0.0,0.0,0.05417127759104587,0.0,0.7309351735740108
43,0.0,0.37726753951371383,0.0,0.0,0.08487143087121235,0.0,0.5378610296150738
44,0.0,0.3283775268164604,0.0,0.0,0.1270704242907171,0.0,0.5445520488928225
45,0.0,0.24725371452095088,0.0,0.0,0.06816905286749272,0.0,0.6845772326115563
46,0.0,0.22306833699951348,0.0,0.0,0.14822303860007022,0.0,0.6287086244004162
47,0.0,0.27981693458430784,0.0,0.0,0.1701985463833308,0.0,0.5499845190323612
48,0.0,0.3154991356843615,0.0,0.0,0.18695626298309242,0.0,0.49754460133254624
49,0.0,0.3943117126244614,0.0,0.0,0.170612045939818,0.0,0.43507624143572066
50,0.0,0.4851303145767919,0.0,0.0,0.27624672877459117,0.0,0.23862295664861685
