,JPM,MRK,WMT,CVX,F,CMCSA,MSFT
0,0.0875453656839328,0.2883026308460272,0.09627111033104452,0.0,0.0,0.0,0.5278808931389954
1,0.04676204172008577,0.21770783849132852,0.07808892202445296,0.0,0.0,0.0,0.6574411977641328
2,0.06662166772122412,0.2481535260971511,0.11209975867508472,0.0,0.0,0.0,0.5731250475065403
3,0.05252948335043818,0.24932595452653444,0.11462683197706444,0.0,0.0,0.0,0.5835177301459628
4,0.09080054425333038,0.27775718227120283,0.09413177312457957,0.0,0.0,0.0,0.5373105003508873
5,0.04464680528696344,0.28808820416508646,0.10737040615754338,0.0,0.0,0.0,0.5598945843904067
6,0.06095725362323021,0.24834934839474257,0.1486970281423098,0.0,0.0,0.0,0.5419963698397173
7,0.11794066029748851,0.2139121104534335,0.1648170181815654,0.0,0.0,0.0,0.5033302110675125
8,0.11874124457387057,0.17129013939347973,0.17565316068531986,0.0,0.0,0.0,0.53431545534733
9,0.12415534736082456,0.1966729968526068,0.1637171619058135,0.0,0.0,0.0,0.5154544938807554
10,0.13415847458509852,0.13390749095453972,0.12157671325393822,0.0,0.0,0.0,0.6103573212064235
11,0.056662925495674844,0.050769417342890755,0.13402611765566516,0.0,0.0,0.0,0.7585415395057692
12,0.0,0.05999864834063438,0.1993238776531241,0.0,0.0,0.0,0.7406774740062416
13,0.0,0.0700416792099129,0.21528596726087695,0.0,0.0,0.0,0.7146723535292101
14,0.0,0.05301432315087005,0.22452386528691978,0.0,0.0,0.0,0.7224618115622101
15,0.0,0.043581515396894505,0.1988943984388556,0.0,0.0,0.0,0.7575240861642498
16,0.0,0.07695087108345346,0.2297566529819997,0.0,0.0,0.0,0.6932924759345468
17,0.0,0.07783473284457428,0.18252398337358658,0.0,0.0,0.0,0.7396412837818391
18,0.0,0.11099098874585946,0.2111902107112586,0.0,0.0,0.0,0.6778188005428819
19,0.0,0.0,0.20244106424927039,0.0,0.0,0.0,0.7975589357507297
20,0.0,0.0,0.24181703701547894,0.0,0.0,0.0,0.758182962984521
21,0.0,0.0,0.19861943311030728,0.0,0.0,0.0,0.8013805668896927
22,0.0,0.0,0.17287492306228178,0.0,0.0,0.0,0.8271250769377182
23,0.008794035107772734,0.0,0.1467208060070804,0.0,0.0,0.0,0.844485158885147
24,0.0,0.0,0.18135183192037496,0.0,0.0,0.0,0.8186481680796249
25,0.0,0.0,0.18547448942270137,0.0,0.0,0.0,0.8145255105772987
26,0.023080555263365915,0.0,0.2535961558931672,0.0,0.0,0.0,0.723323288843467
27,0.023206662943986666,0.03224576149152993,0.2353454078352148,0.0,0.0,0.0,0.7092021677292686
28,0.010354556440470826,0.04044107805898104,0.22427735911380456,0.0,0.0,0.0,0.7249270063867435
29,0.0067961653039508236,0.05296763594094412,0.21683735778737792,0.0,0.0,0.0,0.7233988409677272
30,0.04759510552067961,0.0655624775412305,0.17500480663610213,0.0,0.0,0.0,0.7118376103019877
31,0.10137325167544033,0.05699104378092054,0.10647931860975376,0.0,0.0,0.0,0.7351563859338852
32,0.09317152198390692,0.0,0.03945178488319576,0.0,0.0,0.0,0.8673766931328974
33,0.0869985448691241,0.0,0.05677038735016427,0.0,0.0,0.0,0.8562310677807117
34,0.0,0.0,0.039168576202496974,0.0,0.0,0.0,0.9608314237975031
35,0.0,0.0,0.008272277357878898,0.0,0.0,0.0,0.9917277226421212
36,0.0,0.0,0.007513271631950318,0.0,0.0,0.0,0.9924867283680497
37,0.0,0.050728181496896625,0.09972419019567441,0.0,0.0,0.0,0.8495476283074291
38,0.0,0.08101141144710866,0.0,0.0,0.0,0.0,0.9189885885528913
39,0.0,0.09403621738649354,0.0,0.0,0.0,0.0,0.9059637826135066
40,0.0,0.11457283906838621,0.0,0.0,0.0,0.0,0.8854271609316138
41,0.0,0.07012970432866328,0.005095858778077063,0.0,0.0,0.0,0.9247744368932597
42,0.0,0.13826400616424198,0.058723125021196296,0.0,0.0,0.0,0.8030128688145618
43,0.0,0.17248947561213557,0.1357958223529676,0.0,0.0,0.0,0.6917147020348966
44,0.0,0.16015788866517863,0.09481202903087729,0.0,0.0,0.0,0.7450300823039442
45,0.0,0.24312867082149603,0.02046667002121249,0.0,0.0,0.0,0.7364046591572915
46,0.0,0.24462698928962678,0.0,0.0,0.0,0.0,0.7553730107103732
47,0.0,0.21927213914673793,0.0,0.0,0.0,0.0,0.7807278608532622
48,0.0,0.214159558824816,0.0,0.0,0.0,0.0,0.785840441175184
49,0.0,0.2417150687966478,0.0,0.0,0.0,0.0,0.7582849312033522
50,0.0,0.21566952883379834,0.0,0.0,0.0,0.0,0.7843304711662017
