,KO,GOOGL,AMZN,JPM,JNJ,MSFT,C
0,0.0,0.0,0.29327349567054817,0.028499535323877986,0.22578012592906332,0.4524468430765105,0.0
1,0.0,0.0,0.2634100147544893,0.018208546677068175,0.07925257162430908,0.6391288669441335,0.0
2,0.0,0.0,0.3017221394126446,0.049637805118487345,0.08848017282271507,0.5601598826461531,0.0
3,0.0,0.0,0.2500477634217131,0.03656781332082673,0.11566932847965633,0.5977150947778038,0.0
4,0.0,0.0,0.22832492914183658,0.10362746089946001,0.0,0.6680476099587035,0.0
5,0.037127270373477114,0.0,0.20168430517596778,0.01989626505733401,0.0,0.7412921593932211,0.0
6,0.0,0.0,0.17134918178827338,0.053023015417279114,0.010796258969996034,0.7648315438244515,0.0
7,0.11622060774991631,0.0,0.19532594432242456,0.1325755172109271,0.011126708743616267,0.5447512219731158,0.0
8,0.06229834414125636,0.0,0.19319777709332703,0.13404464558187365,0.008301142454638054,0.6021580907289049,0.0
9,0.11032032693788567,0.0,0.23349867744325215,0.1342514159689599,0.0,0.5219295796499022,0.0
10,0.0,0.0,0.30786409435349793,0.1582540209489356,0.0,0.5338818846975665,0.0
11,0.0,0.0,0.31849042864243976,0.06050782730512799,0.0,0.6210017440524324,0.0
12,0.0,0.0,0.3640643283090859,0.0,0.0,0.6359356716909141,0.0
13,0.0,0.0,0.41294134689012413,0.0,0.0,0.5870586531098759,0.0
14,0.0,0.0,0.38242142195183354,0.0,0.0,0.6175785780481665,0.0
15,0.0,0.0,0.4332149499619863,0.0,0.0,0.5667850500380138,0.0
16,0.0,0.0,0.5294945995181704,0.0,0.0,0.4705054004818296,0.0
17,0.0,0.0,0.4848844170354148,0.0,0.0,0.5151155829645853,0.0
18,0.0,0.0,0.528574182063668,0.0,0.0,0.47142581793633187,0.0
19,0.0,0.0,0.30829306057701483,0.0,0.0,0.6917069394229852,0.0
20,0.0,0.0,0.3066475634369361,0.0,0.0,0.6933524365630638,0.0
21,0.0,0.0,0.23747562955921978,0.0,0.0,0.7625243704407804,0.0
22,0.0,0.0,0.1870455105117786,0.0,0.0,0.8129544894882215,0.0
23,0.0,0.0,0.11285375069784535,0.015632342445102344,0.0,0.8715139068570522,0.0
24,0.0,0.0,0.04653371703743886,0.0,0.0,0.9534662829625611,0.0
25,0.0,0.0,0.003447765447904086,0.0,0.0,0.996552234552096,0.0
26,0.0,0.0,0.0,0.04283601226765533,0.0,0.9571639877323446,0.0
27,0.0,0.0,0.0,0.04799293813691025,0.0,0.9520070618630898,0.0
28,0.0,0.0,0.0,0.025552080926578225,0.0,0.9744479190734217,0.0
29,0.0,0.0,0.0,0.022692804691288773,0.0,0.9773071953087111,0.0
30,0.0,0.0,0.0,0.06999465539722487,0.0,0.9300053446027752,0.0
31,0.0,0.0,0.018418039019626218,0.12412122706436375,0.0,0.8574607339160101,0.0
32,0.0,0.0,0.032663649050226465,0.09851069567882845,0.0,0.8688256552709451,0.0
33,0.0,0.0,0.002671754196561854,0.09419066425127887,0.0,0.9031375815521594,0.0
34,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37,0.02095017211940641,0.0,0.0,0.0,0.0,0.9790498278805936,0.0
38,0.01563715401645349,0.0,0.0,0.0,0.0,0.9843628459835465,0.0
39,0.052064122739138026,0.0,0.0,0.0,0.0,0.9479358772608618,0.0
40,0.0520433986611635,0.0,0.0,0.0,0.0,0.9479566013388364,0.0
41,0.07971787270480966,0.0,0.0,0.0,0.0,0.9202821272951903,0.0
42,0.0,0.0,0.0,0.0,0.0,1.0,0.0
43,0.05739606959531978,0.0,0.0,0.0,0.007592387387911532,0.9350115430167689,0.0
44,0.055244190805228154,0.0,0.0,0.0,0.0,0.9447558091947719,0.0
45,0.09944820938978828,0.0,0.0,0.0,0.0,0.9005517906102118,0.0
46,0.04474329996475903,0.0,0.0,0.0,0.0,0.955256700035241,0.0
47,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50,0.0,0.0,0.0,0.0,0.0,1.0,0.0
