,V,WMT,DIS,FDX,GIS,META,F
0,0.6470775167355245,0.10510969533572875,0.0,0.0,0.0,0.24781278792874667,0.0
1,0.6562282730808363,0.10716186667609413,0.0,0.0,0.0,0.23660986024306965,0.0
2,0.7009909770756589,0.12968220995553043,0.019281068304733178,0.0,0.0,0.1500457446640775,0.0
3,0.6939178568391096,0.13931461954497962,0.021478802104634973,0.0,0.0,0.14528872151127578,0.0
4,0.7187602176922268,0.12549168182307693,0.002128929328385769,0.0,0.0,0.1536191711563104,0.0
5,0.7127010510309386,0.12134080572179269,0.0,0.0,0.0,0.16595814324726876,0.0
6,0.6685356465881865,0.17678875966641525,0.0,0.0,0.0,0.15467559374539805,0.0
7,0.728856309317203,0.19047282532287646,0.0,0.0,0.0,0.08067086535992066,0.0
8,0.7274023404592365,0.19908916553955183,0.0,0.0,0.0,0.07350849400121165,0.0
9,0.7108335735762006,0.15744651669948678,0.0,0.0,0.0,0.13171990972431258,0.0
10,0.8184732473551536,0.08936549129833293,0.0,0.0,0.0,0.09216126134651363,0.0
11,0.8098010628425554,0.07511587469711126,0.0,0.0,0.0,0.11508306246033341,0.0
12,0.7832022433328769,0.1985221308719993,0.0,0.0,0.0,0.01827562579512385,0.0
13,0.7849237586814587,0.21507624131854136,0.0,0.0,0.0,0.0,0.0
14,0.8030505218489954,0.19694947815100464,0.0,0.0,0.0,0.0,0.0
15,0.8304534498783419,0.169546550121658,0.0,0.0,0.0,0.0,0.0
16,0.7235994144209705,0.22137117498143294,0.0,0.0,0.0,0.05502941059759676,0.0
17,0.7295699805238698,0.19847599437044924,0.0,0.0,0.0,0.07195402510568105,0.0
18,0.7152662701478546,0.25418253733165813,0.0,0.0,0.0,0.03055119252048731,0.0
19,0.6103778716580333,0.2738158204485837,0.0,0.0,0.0,0.11580630789338309,0.0
20,0.5881488705721437,0.2978194690122861,0.0,0.0,0.0,0.1140316604155703,0.0
21,0.7030366817987946,0.25843896563986113,0.0,0.0,0.0,0.03852435256134425,0.0
22,0.5473539750506906,0.33194450546667176,0.0,0.0,0.0,0.1207015194826376,0.0
23,0.595009682757151,0.30949246978951356,0.0,0.0,0.0,0.09549784745333528,0.0
24,0.5617356587549087,0.35290266892820726,0.0,0.0,0.0,0.08536167231688399,0.0
25,0.5502775956491468,0.35986276668899697,0.0,0.0,0.0,0.08985963766185627,0.0
26,0.48465641651481434,0.43195426572921264,0.0,0.0,0.0,0.08338931775597296,0.0
27,0.5055504808560719,0.40783450127755405,0.0,0.0,0.0,0.08661501786637406,0.0
28,0.4540200839133138,0.5048906838417782,0.0,0.0,0.0,0.04108923224490796,0.0
29,0.3675006342663215,0.5374481039905379,0.0,0.0,0.0,0.09505126174314056,0.0
30,0.44539036321299125,0.5042698594866205,0.0,0.0,0.0,0.050339777300388217,0.0
31,0.45429780775745393,0.5008401115020454,0.0,0.0,0.0,0.0,0.04486208074050065
32,0.404423005604205,0.47113144598011053,0.0,0.0,0.0,0.05776596030932959,0.06667958810635476
33,0.4335111035301962,0.4624608640060538,0.0,0.0,0.0,0.036117280076461915,0.067910752387288
34,0.4816459738801211,0.45131947924033233,0.0,0.0,0.0,0.0,0.06703454687954664
35,0.5203990114231258,0.4471463445974892,0.0,0.0,0.0,0.0,0.03245464397938488
36,0.544748338080931,0.41584676373567003,0.0,0.0,0.0,0.0,0.039404898183398804
37,0.5020802378169842,0.4979197621830159,0.0,0.0,0.0,0.0,0.0
38,0.6309872986447098,0.3690127013552901,0.0,0.0,0.0,0.0,0.0
39,0.6225337257726299,0.34903089449123126,0.0,0.0,0.028435379736138845,0.0,0.0
40,0.5916295012480837,0.3977613272031059,0.0,0.0,0.010609171548810485,0.0,0.0
41,0.5693357842898366,0.35407824836653917,0.0,0.0,0.07658596734362434,0.0,0.0
42,0.4840942945750054,0.44793300786785223,0.0,0.0,0.06797269755714234,0.0,0.0
43,0.44869349748635196,0.506319871431937,0.0,0.0,0.044986631081710964,0.0,0.0
44,0.4185190542421396,0.46527397507264906,0.0,0.0,0.11620697068521131,0.0,0.0
45,0.42844727857985804,0.37325588332854626,0.0,0.0,0.19829683809159576,0.0,0.0
46,0.4956662531213868,0.33261206293575946,0.0,0.0,0.17172168394285375,0.0,0.0
47,0.4570656532728467,0.2861124849207052,0.0,0.0,0.2568218618064481,0.0,0.0
48,0.41877579092699296,0.27786135846572374,0.0,0.0,0.3033628506072834,0.0,0.0
49,0.4076033484645872,0.23945644615667608,0.0,0.0,0.35294020537873666,0.0,0.0
50,0.34988666070193186,0.29305244589526735,0.0,0.0,0.3570608934028009,0.0,0.0
