,GOOG,NVDA,V,BA,MRK,KO,PEP
0,0.0,0.22254406822491124,0.3585883441572389,0.13899129230553306,0.14654139509864314,0.0,0.13333490021367372
1,0.0,0.21014623441146746,0.4626812147022898,0.11642291526334536,0.07169411873735268,0.0,0.13905551688554477
2,0.0,0.14030766109097034,0.5102711905167345,0.07474764099225843,0.09022243690147973,0.0,0.18445107049855694
3,0.0,0.15080256040335,0.4840906230658645,0.06121580592052572,0.10238100857192907,0.0,0.20151000203833075
4,0.0,0.17122705707832156,0.5401015489519272,0.0004206299126163042,0.1626341848382386,0.0,0.1256165792188963
5,0.0,0.16424144188137407,0.5045798406960741,0.01750616153050217,0.11768141297790564,0.0,0.19599114291414407
6,0.0,0.18905105246856546,0.37821158489990686,0.05555016536460152,0.10694169967412992,0.0,0.27024549759279626
7,0.0,0.1948918368624853,0.41715177132262565,0.05325409571859414,0.030449972241212476,0.0,0.30425232385508233
8,0.0,0.18884543834748976,0.4297820277284491,0.07533958658826319,0.0,0.0,0.3060329473357979
9,0.0,0.19366843834431302,0.5045789102182645,0.03549732061003766,0.036758778018575,0.034033015591826095,0.1954635372169836
10,0.0,0.1707044175283559,0.6713853563059046,0.00772031703220859,0.0,0.0,0.150189909133531
11,0.0,0.2538463937137485,0.617033455055418,0.0,0.0,0.0,0.12912015123083345
12,0.0,0.3379846526884575,0.6456406038560375,0.0,0.007795185498214707,0.0,0.008579557957290181
13,0.0,0.3389205861087956,0.5951073442812644,0.0,0.01591846377703089,0.0,0.05005360583290909
14,0.0,0.33778712361700475,0.6622128763829953,0.0,0.0,0.0,0.0
15,0.0,0.37110453971724816,0.6216353906872757,0.0,0.0,0.0,0.00726006959547604
16,0.0,0.399242407965907,0.46841859580852857,0.0,0.031776684477918885,0.0,0.10056231174764563
17,0.0,0.4236306538586117,0.44645096097797754,0.0,0.026509015219327893,0.0,0.10340936994408285
18,0.0,0.4422516526747066,0.20417256469926642,0.0,0.0997547429584203,0.0,0.2538210396676066
19,0.0,0.5087982854498025,0.17145608212650412,0.0,0.0,0.0,0.31974563242369336
20,0.0,0.47545411536069443,0.23601197612296018,0.0,0.0,0.0,0.28853390851634564
21,0.0,0.42765945654958826,0.2589802645677252,0.0,0.0,0.0,0.31336027888268647
22,0.08917792591403603,0.49559649532783223,0.1130990803729425,0.0,0.0,0.0,0.30212649838518923
23,0.19062033260542496,0.5020990205076411,0.1525452733114454,0.0,0.0,0.0,0.1547353735754884
24,0.1564087258830094,0.4626595356693362,0.05427428513436866,0.0,0.0,0.0,0.32665745331328583
25,0.09332475728064148,0.5116494299807448,0.025438478061762384,0.0,0.0,0.0,0.3695873346768512
26,0.08667347712451023,0.47828422121332925,0.028510189829113977,0.0,0.014952814511235122,0.0,0.39157929732181146
27,0.11663927105720538,0.45000479252367087,0.016393652704485773,0.0,0.10970359241358195,0.0,0.3072586913010562
28,0.1363987407186211,0.41519380627256497,0.03631010444101979,0.0,0.07482143061686444,0.0,0.3372759179509297
29,0.15257918880561638,0.4072760407780255,0.0,0.0,0.0981327296203938,0.0,0.3420120407959642
30,0.08860330222511352,0.43450840569922583,0.0303656178840701,0.0,0.09981078432843836,0.0,0.3467118898631524
31,0.05992845361165198,0.4583552266861745,0.05179633399748861,0.0,0.10613332428072077,0.0,0.3237866614239641
32,0.08029144462404884,0.4725352926871749,0.029704711734025967,0.0,0.05875145234168635,0.0,0.35871709861306394
33,0.043886476318657046,0.41709576062537834,0.12383515320912518,0.0,0.019266457722853018,0.0,0.39591615212398623
34,0.06624519139698705,0.3647101340127004,0.17675828637347177,0.0,0.06653073196726345,0.0,0.32575565624957714
35,0.1122259887232783,0.37595864157240205,0.1764586461573094,0.0,0.040386655300344895,0.0,0.29497006824666544
36,0.1679331137690449,0.3635171047734901,0.22974546565265228,0.0,0.05885648533115193,0.0,0.17994783047366086
37,0.0,0.30252529492373825,0.26056752591532795,0.0,0.15977610477424792,0.011585477429489897,0.2655455969571958
38,0.017488966620937876,0.2992038433060832,0.24280314932968683,0.0,0.16058015864016853,0.0,0.27992388210312363
39,0.08907079539848356,0.2547969544222596,0.15733500205169038,0.0,0.1986242939707478,0.07772812605709534,0.22244482809972338
40,0.0776463286456252,0.24935949554120107,0.17016403567623103,0.0,0.21241986597711243,0.0,0.2904102741598303
41,0.1167987694637306,0.17523254704048652,0.20662926842906515,0.0,0.10746711450205053,0.0,0.3938723005646674
42,0.14827442919553868,0.1406363557432346,0.17358808378658325,0.0,0.2576627640104128,0.0,0.27983836726423056
43,0.07565909730536166,0.1583868279364366,0.16380605468576767,0.0,0.216722778871349,0.0,0.38542524120108496
44,0.059747157543875835,0.21222104005927314,0.12599994142450002,0.0,0.25237567587169274,0.0,0.34965618510065827
45,0.0,0.19944966673933642,0.1504623916720726,0.0,0.3455376367962606,0.0,0.3045503047923304
46,0.0,0.24951104923038905,0.18416984269684647,0.0,0.38080279742522194,0.0,0.18551631064754243
47,0.0,0.2662707565661907,0.12110472690340945,0.0,0.36893287216533954,0.0,0.24369164436506022
48,0.0,0.27603055148396916,0.0953752072306748,0.0,0.34328405805816165,0.0,0.2853101832271943
49,0.0,0.2527878515385944,0.05381621841433625,0.0,0.3868465083876999,0.0,0.30654942165936944
50,0.014366188279979477,0.29369473349549374,0.0,0.0,0.3905686811872734,0.0,0.30137039703725327
