,BRK-B,BA,MRK,GOOGL,GM,WMT,GIS
0,0.14215860909694453,0.3116712205539371,0.26364129406917103,0.2470859003581815,0.0,0.035442975921766,0.0
1,0.2519892211805187,0.2782088207839979,0.17338373992596923,0.26180774388576655,0.0,0.03461047422374764,0.0
2,0.12466225613803812,0.2538858533397522,0.24687940503522782,0.2566916577212888,0.0,0.11788082776569321,0.0
3,0.16612824013372238,0.2147398605903215,0.2576961371285459,0.22709443413122937,0.0,0.13434132801618096,0.0
4,0.14265023846607736,0.1632551999414267,0.2975904745857513,0.2601149913426841,0.0,0.13638909566406074,0.0
5,0.11714543995938219,0.20240497749641764,0.2914682005450731,0.2450692093509591,0.0,0.14391217264816808,0.0
6,0.10016661396439956,0.21853913912211578,0.26419519142120124,0.2265633328683889,0.0,0.19053572262389457,0.0
7,0.23950538461913534,0.17500474359757806,0.19995632688512363,0.205356647765539,0.0,0.18017689713262394,0.0
8,0.24460183011307018,0.19868507118048215,0.1531097414926259,0.21199933648391178,0.0,0.19160402072990992,0.0
9,0.1613748646238038,0.1512783835353089,0.20807228476554215,0.2904525571583143,0.0,0.18882190991703082,0.0
10,0.16409213094169442,0.14537553765164427,0.14086179173886615,0.39471251733893925,0.0,0.15495802232885597,0.0
11,0.14516658714609632,0.1226681907621941,0.0926471556741329,0.43925803463432045,0.0,0.2002600317832562,0.0
12,0.0,0.0,0.23308358087155104,0.3814266516158166,0.0,0.3854897675126325,0.0
13,0.0,0.0,0.22056627150600341,0.38953419756781793,0.0,0.38989953092617863,0.0
14,0.0,0.0,0.1768329121188781,0.4323071386331598,0.0,0.390859949247962,0.0
15,0.0,0.0,0.16360521121759006,0.46027374175559427,0.0,0.37612104702681565,0.0
16,0.0,0.0,0.17313847400386162,0.45222521594461407,0.0,0.3746363100515242,0.0
17,0.0,0.0,0.17018668836865952,0.5181198265486584,0.0,0.311693485082682,0.0
18,0.0,0.0,0.22083614070046176,0.432379129301654,0.0,0.3467847299978843,0.0
19,0.0,0.0,0.07695763814094263,0.5384842230873205,0.0,0.38455813877173683,0.0
20,0.0,0.0,0.11803978717676979,0.48248047479034095,0.0,0.3994797380328893,0.0
21,0.0,0.0,0.1612464388039899,0.4880440244808025,0.0,0.35070953671520766,0.0
22,0.0,0.0,0.052548087401667026,0.5480839268853885,0.0,0.39936798571294446,0.0
23,0.0,0.0,0.0,0.6112847764361088,0.0,0.38871522356389115,0.0
24,0.0013646928054435667,0.0,0.05967047332119105,0.5439642595098234,0.0,0.39500057436354197,0.0
25,0.027819574498217058,0.0,0.0321494216611234,0.5449413309723251,0.0,0.39508967286833446,0.0
26,0.08770366332826075,0.0,0.08507197896916303,0.4221671597518894,0.0,0.4050571979506868,0.0
27,0.018802515112156474,0.0,0.2052917993637827,0.418152843788628,0.0,0.35775284173543287,0.0
28,0.0013077781836663526,0.0,0.1400980814899775,0.40268515444688535,0.0,0.455908985879471,0.0
29,0.01984733610303027,0.0,0.14743703834736094,0.39721576423806965,0.0,0.435499861311539,0.0
30,0.03278689057323206,0.0,0.1745043829496851,0.38892028295456904,0.0,0.40378844352251375,0.0
31,0.05199513788110853,0.0,0.2214657061620335,0.4104562025113684,0.0,0.3160829534454896,0.0
32,0.025105020118422167,0.0,0.10564838127961171,0.5175267249658898,0.0,0.35171987363607643,0.0
33,0.073276523517018,0.0,0.08292185211674175,0.49049145497901275,0.0,0.35331016938722754,0.0
34,0.09719446523064894,0.0,0.1057399871546823,0.48472534477379564,0.0,0.31234020284087294,0.0
35,0.24133011767570925,0.0,0.03933831098778722,0.46957172831283855,0.0,0.24975984302366516,0.0
36,0.2221208068996216,0.0,0.042884299554711396,0.5032140689226987,0.0,0.2317808246229683,0.0
37,0.16053075314992546,0.0,0.14077706331470724,0.329582922111236,0.0,0.36910926142413125,0.0
38,0.15132312363040815,0.0,0.2240368396258482,0.42104547781828855,0.0,0.20359455892545514,0.0
39,0.013686588785440145,0.0,0.30439010229988045,0.4885944319424083,0.0,0.193328876972271,0.0
40,0.044926939078358506,0.0,0.2836182080149346,0.4376906461239749,0.0,0.233764206782732,0.0
41,0.0,0.0,0.20885709330718777,0.451201729949661,0.0,0.2838578556502216,0.056083321092929454
42,0.0,0.0,0.27868008493199714,0.35586019356143217,0.0,0.33810595136596683,0.02735377014060401
43,0.0,0.0,0.2757117563357738,0.2998294999476642,0.0,0.41401333318310224,0.010445410533459723
44,0.0,0.0,0.2626342101253365,0.30107248351236837,0.0,0.36314625752615415,0.07314704883614098
45,0.0,0.0,0.3589067723845283,0.23930193178174564,0.0,0.2722917432829266,0.12949955255079937
46,0.0,0.0,0.37246766463686604,0.2701942427069883,0.0,0.2610990643801707,0.09623902827597486
47,0.09320932263937193,0.0,0.3303766288430288,0.16530137414179288,0.0,0.2192299443504585,0.19188273002534803
48,0.0,0.0,0.30212436926220776,0.2577995187626563,0.0,0.21583315387227806,0.22424295810285794
49,0.0,0.0,0.351160469442865,0.2638367744507549,0.0,0.13709793001177187,0.24790482609460823
50,0.0,0.0,0.3137137535478217,0.3185875022786392,0.0,0.12226898969380011,0.24542975447973897
