,BRK-B,XOM,CSCO,MRK,AMZN,T,MSFT
0,0.07506581459742984,0.0,0.0668196464029205,0.2158957185895743,0.2407126950261691,0.0,0.40150612538390645
1,0.08760014072630302,0.0,0.024814212746105756,0.15464901069529113,0.2021133004184479,0.0,0.5308233354138522
2,0.0,0.0,0.07654982521263026,0.2132106446019176,0.23143106879111708,0.0,0.47880846139433514
3,0.0,0.0,0.08464313379031847,0.2227090655630623,0.1833377299113756,0.003893471885048071,0.5054165988501956
4,0.0,0.0,0.13944804750308049,0.2504579911364478,0.12106467070882959,0.0,0.4890292906516419
5,0.0,0.0,0.04388719218837095,0.272284586408087,0.11515362211629565,0.03495877975975908,0.5337158195274876
6,0.0,0.0,0.029073953150015156,0.23161600493407697,0.10088179578819353,0.09406176952008342,0.5443664766076308
7,0.016302573702202332,0.0,0.0,0.1591240495849322,0.16364339023914118,0.16618337115601603,0.4947466153177081
8,0.009686551240932718,0.0,0.0,0.10301367527789881,0.1683418273483975,0.18856614838735375,0.5303917977454172
9,0.0,0.0,0.0,0.12972403865830381,0.20324634418926998,0.16867308645399268,0.4983565306984334
10,0.0,0.0,0.0,0.03245181198556292,0.28543501896829127,0.15923163555625747,0.5228815334898883
11,0.0,0.0,0.0,0.0,0.29918926746910596,0.12672616910857817,0.5740845634223158
12,0.0,0.0,0.0,0.0,0.36406432830908586,0.0,0.6359356716909143
13,0.0,0.0,0.0,0.0,0.4129413468901241,0.0,0.5870586531098759
14,0.0,0.0,0.0,0.0,0.38242142195183343,0.0,0.6175785780481666
15,0.0,0.0,0.0,0.0,0.4332149499619863,0.0,0.5667850500380137
16,0.0,0.0,0.0,0.0,0.5294788831133563,4.1318377427644876e-05,0.47047979850921595
17,0.0,0.0,0.0,0.0,0.4848844170354145,0.0,0.5151155829645855
18,0.0,0.0,0.0,0.031159756773439424,0.5111174085021079,0.0,0.45772283472445274
19,0.0,0.0,0.0,0.0,0.30829306057701494,0.0,0.691706939422985
20,0.0,0.0,0.0,0.0,0.30664756343693594,0.0,0.693352436563064
21,0.0,0.0,0.0,0.0,0.23747562955921991,0.0,0.7625243704407801
22,0.0,0.0,0.0,0.0,0.18704551051177884,0.0,0.8129544894882211
23,0.0,0.0,0.0,0.0,0.11396147871434273,0.0,0.8860385212856573
24,0.0,0.0,0.0,0.0,0.04653371703743914,0.0,0.9534662829625609
25,0.0,0.0,0.0,0.0,0.003447765447903948,0.0,0.9965522345520961
26,0.0,0.0,0.0,0.02444799059703883,0.0,0.0,0.9755520094029612
27,0.0,0.0,0.0,0.09082770108785243,0.0,0.0,0.9091722989121476
28,0.0,0.0,0.0,0.1119301143186783,0.0,0.0,0.8880698856813218
29,0.0,0.0,0.005019942932250737,0.12099290194404946,0.0,0.0,0.8739871551236998
30,0.0,0.0,0.0,0.1332469904567514,0.0,0.0,0.8667530095432486
31,0.0,0.0,0.05551953780679209,0.08821827514977355,0.007935685940143523,0.0,0.8483265011032908
32,0.0,0.0,0.0,0.0,0.03251634105531783,0.0,0.967483658944682
33,0.0,0.0,0.016048829231385415,0.0,0.0,0.0,0.9839511707686145
34,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35,0.030717869576218308,0.0,0.0,0.0,0.0,0.0,0.9692821304237818
36,0.034595291631201223,0.0,0.0,0.0,0.0,0.0,0.9654047083687988
37,0.0,0.0,0.0,0.08387521587483097,0.0,0.0,0.9161247841251691
38,0.0,0.0,0.0,0.08101141144710873,0.0,0.0,0.9189885885528913
39,0.0,0.0,0.0,0.09403621738649352,0.0,0.0,0.9059637826135064
40,0.0,0.0,0.0,0.1145728390683862,0.0,0.0,0.8854271609316139
41,0.0,0.0,0.0,0.07159572193062214,0.0,0.0,0.928404278069378
42,0.0,0.0,0.0,0.15700744452395907,0.0,0.0,0.8429925554760409
43,0.0,0.0,0.0,0.22489486877573786,0.0,0.0,0.7751051312242623
44,0.0,0.0,0.0,0.19484786766027787,0.0,0.0,0.8051521323397223
45,0.0,0.0,0.0,0.2509418659114057,0.0,0.0,0.7490581340885943
46,0.0,0.0,0.0,0.24462698928962678,0.0,0.0,0.7553730107103732
47,0.0,0.0,0.0,0.2192721391467379,0.0,0.0,0.780727860853262
48,0.0,0.0,0.0,0.21415955882481602,0.0,0.0,0.7858404411751839
49,0.0,0.0,0.0,0.2417150687966478,0.0,0.0,0.7582849312033522
50,0.0,0.0,0.0,0.21566952883379828,0.0,0.0,0.7843304711662018
