,BA,C,UNH,ABBV,BAC,CSCO,GLW
0,0.22050676359852064,0.0,0.6063287817017788,0.0,0.0,0.13428698815944654,0.038877466540254015
1,0.23594052145429995,0.0,0.5639626555432106,0.0,0.0,0.1789440199173561,0.021152803085133374
2,0.1781453626404585,0.0,0.6021181600691508,0.0,0.0,0.20480631197082633,0.014930165319564462
3,0.13685698228397472,0.0,0.5881232501048858,0.0,0.0,0.22337519051566476,0.05164457709547473
4,0.04932037129359812,0.0,0.661207431853506,0.0,0.0,0.289472196852896,0.0
5,0.15650945373493466,0.0,0.6497017000446457,0.0,0.0,0.19378884622041964,0.0
6,0.19158108842408442,0.0,0.5876311018765935,0.0,0.0,0.2207878096993222,0.0
7,0.1888318353759181,0.0,0.622391213780065,0.0,0.0,0.18877695084401705,0.0
8,0.1981497901335908,0.0,0.6262847941270809,0.0,0.0,0.1755654157393284,0.0
9,0.16420374173228847,0.0,0.6310367095431209,0.0,0.0,0.2047595487245905,0.0
10,0.15816643684414772,0.0,0.6784915658312207,0.0,0.0,0.16334199732463153,0.0
11,0.1341416684197828,0.0,0.7680248390512174,0.006173618587459215,0.0,0.09165987394154058,0.0
12,0.0,0.0,0.8406881016965716,0.0,0.0,0.1593118983034285,0.0
13,0.0,0.0,0.8526943851960676,0.0,0.0,0.14730561480393256,0.0
14,0.0,0.0,0.7981822441135671,0.0,0.0,0.20181775588643286,0.0
15,0.0017640616226743456,0.0,0.7971361227059752,0.01675192300854025,0.0,0.1843478926628101,0.0
16,0.0,0.0,0.7849959892035957,0.0,0.0,0.21500401079640438,0.0
17,0.0,0.0,0.8966645722582054,0.0,0.0,0.10333542774179452,0.0
18,0.0009177329871788255,0.0,0.9408866510551906,0.0,0.0,0.058195615957630495,0.0
19,0.0,0.0,0.9513230854464294,0.02497084245941697,0.0,0.023706072094153603,0.0
20,0.0,0.0,0.9198375104962145,0.07650097454700293,0.0,0.0036615149567824786,0.0
21,0.0,0.0,0.8572297758519467,0.07832520788414084,0.0,0.06444501626391233,0.0
22,0.0,0.0,0.909330988613894,0.0,0.0,0.017828567506763805,0.07284044387934231
23,0.0,0.0,0.8405062491318397,0.01996734071859807,0.0,0.008260486750352744,0.13126592339920942
24,0.0,0.0,0.7709195994914677,0.0,0.0,0.07105812627814413,0.15802227423038812
25,0.0,0.0,0.7961862136938114,0.0,0.0,0.0014372395314232727,0.20237654677476527
26,0.0,0.0,0.7455916575452877,0.0063054678203625725,0.0,0.061384625173743476,0.1867182494606065
27,0.0,0.0,0.7164893161990425,0.08179467897620858,0.0,0.051464230972353135,0.15025177385239583
28,0.0,0.0,0.763585958387387,0.06600975652887447,0.0,0.03962322986112122,0.1307810552226173
29,0.0,0.0,0.7615729642279232,0.06266842133088453,0.0,0.12200961241575085,0.05374900202544153
30,0.0,0.0,0.8022198982804178,0.024149145910445518,0.0,0.12661655026748725,0.04701440554164941
31,0.0,0.0,0.718360282377991,0.024885928196254275,0.06009856906794707,0.1966552203578077,0.0
32,0.0,0.0,0.6945555355324777,0.062097368843849116,0.11301636191687757,0.11736618672837913,0.012964546978416553
33,0.0,0.0,0.7044974396347324,0.08165799312834626,0.08754585643607476,0.12629871080084662,0.0
34,0.0,0.0,0.64658543191556,0.0930683227349066,0.05866408359754897,0.01984008860194313,0.18184207315004133
35,0.0,0.0,0.6847864372591731,0.14238846062133992,0.06758512401656906,0.0,0.10523997810291806
36,0.0,0.0,0.6604414925808206,0.18564565391597787,0.10900521445714402,0.0,0.04490763904605748
37,0.0,0.0,0.8141309837401034,0.13456417675445004,0.004118529551079343,0.0,0.04718630995436718
38,0.0,0.0,0.820150750909959,0.14497562564764924,0.0,0.0,0.03487362344239168
39,0.0,0.0,0.8245815151057695,0.17541848489423048,0.0,0.0,0.0
40,0.0,0.0,0.7784269698857519,0.19144328110606892,0.0,0.0,0.03012974900817918
41,0.0,0.0,0.8144296089366604,0.18557039106333967,0.0,0.0,0.0
42,0.0,0.0,0.8107368102977079,0.18926318970229206,0.0,0.0,0.0
43,0.0,0.0,0.7912871928449959,0.20871280715500412,0.0,0.0,0.0
44,0.0,0.0,0.7369723479585425,0.2630276520414575,0.0,0.0,0.0
45,0.0,0.0,0.7481303590403989,0.251869640959601,0.0,0.0,0.0
46,0.0,0.0,0.7507735598336855,0.2492264401663146,0.0,0.0,0.0
47,0.0,0.0,0.6972565866322672,0.3027434133677329,0.0,0.0,0.0
48,0.0,0.0,0.688959622726447,0.311040377273553,0.0,0.0,0.0
49,0.0,0.0,0.7016258464931007,0.2983741535068994,0.0,0.0,0.0
50,0.0,0.0,0.775214719099903,0.22478528090009695,0.0,0.0,0.0
