,META,AMZN,CMCSA,MRK,ORCL,GIS,HD
0,0.2555667381319596,0.18686347868208225,0.0,0.25331261272453115,0.0,0.0,0.304257170461427
1,0.3056524887780412,0.16461384945876326,0.0,0.2341449875048497,0.0,0.0,0.2955886742583459
2,0.2388966280141942,0.1959742385951524,0.0,0.2616048596746913,0.0,0.0,0.30352427371596225
3,0.21825090864656232,0.18248317562962366,0.0,0.26752334892596663,0.0,0.0,0.33174256679784747
4,0.23353554755805794,0.11247439901408635,0.0,0.3015072585439054,0.0,0.0,0.3524827948839502
5,0.2462811749095811,0.0694929648092026,0.0,0.28487982029106,0.0,0.0,0.39934603999015633
6,0.19617522268428036,0.08406752156289497,0.0,0.26757283026583456,0.0,0.0,0.4521844254869899
7,0.1164780549425118,0.15165439436468803,0.0,0.19999097383725634,0.0,0.0,0.5318765768555439
8,0.14124430072280206,0.19260909481570568,0.0,0.20087071029863462,0.0,0.0,0.4652758941628576
9,0.20603403573434242,0.17266897904941753,0.0,0.21907654025126352,0.0,0.0,0.4022204449649767
10,0.15607360651976282,0.2967555540567853,0.0,0.11109251534308821,0.0,0.0,0.4360783240803636
11,0.12473843787642741,0.36898049673981304,0.0,0.002021190313018895,0.0,0.0,0.5042598750707407
12,0.0,0.5994347663413281,0.0,0.0,0.0,0.0,0.4005652336586719
13,0.0,0.6404785920977385,0.0,0.002047173920253232,0.0,0.0,0.3574742339820083
14,0.0,0.5884338578984979,0.0,0.0,0.0,0.0,0.4115661421015021
15,0.0,0.6285100190847667,0.0,0.0,0.0,0.0,0.37148998091523344
16,0.0,0.723413422534426,0.0,0.0,0.0,0.0,0.2765865774655741
17,0.0,0.6904092588046652,0.0,0.0,0.0,0.0,0.30959074119533464
18,0.0,0.7488766106491789,0.0,0.04787009506862721,0.0,0.0,0.20325329428219385
19,0.0,0.763875998254036,0.0,0.0,0.0,0.0,0.2361240017459642
20,0.0,0.7879996006276234,0.0,0.004215249529948344,0.0,0.0,0.2077851498424282
21,0.0,0.817492584892299,0.024803382930151812,0.03660290849203344,0.0,0.0,0.12110112368551564
22,0.0,0.7248792795296436,0.0,0.0,0.0,0.0,0.2751207204703564
23,0.0,0.7746270656447269,0.06231345223099893,0.0,0.0,0.0,0.163059482124274
24,0.0,0.6477620025790864,0.0,0.0,0.0,0.0,0.35223799742091366
25,0.0,0.6326175430651165,0.0,0.0,0.0007535622758505711,0.0,0.36662889465903303
26,0.0,0.49258263382511663,0.07620223987100154,0.03830180149386005,0.13734591100833088,0.0,0.2555674138016906
27,0.017727147822231844,0.44650739502535,0.0,0.21760078836011074,0.1210439276300554,0.0,0.19712074116225214
28,0.014204324460194569,0.3673815518381881,0.0,0.18407356046865947,0.22251650679723328,0.0,0.21182405643572455
29,0.06405433975568942,0.3563458510016006,0.008545558602375476,0.21577895025807853,0.23621408887990705,0.0,0.11906121150234904
30,0.0,0.31893622531258653,0.0,0.18707936933226021,0.3082929704041871,0.0,0.18569143495096618
31,0.0,0.3517658943170974,0.0,0.22363510914290002,0.24545488704801655,0.0,0.1791441094919859
32,0.0,0.425234798666943,0.0,0.10710306674808678,0.18184321206543944,0.0,0.28581892251953084
33,0.0,0.4113740213996163,0.0,0.12768218740340467,0.1173617599661797,0.0,0.3435820312307992
34,0.0,0.37341629324379133,0.0,0.23496781282608506,0.10945996843961767,0.0,0.2821559254905059
35,0.0,0.47401553073723857,0.0,0.22627168363685807,0.0938723348782457,0.0,0.20584045074765772
36,0.0,0.48417736263059724,0.0,0.2376464288942547,0.12245226256134639,0.0,0.15572394591380187
37,0.0,0.3290944869578393,0.0,0.36799951485821136,0.0522466073653074,0.0,0.250659390818642
38,0.0,0.3041831647832219,0.0,0.34394269021751095,0.04099934542998533,0.0,0.310874799569282
39,0.0,0.17934903178380898,0.0,0.34230307590968007,0.16910123291594703,0.0,0.30924665939056384
40,0.0,0.21950021710365272,0.0,0.34108972985428015,0.14109175697158285,0.0,0.29831829607048427
41,0.0,0.2773442137694332,0.0,0.30121543713488047,0.07818327247511582,0.09597973072401138,0.24727734589655911
42,0.0,0.2831054851611901,0.0,0.4001317434936691,0.0,0.09370095190526413,0.2230618194398766
43,0.0,0.1829895269452828,0.0,0.39689211902214533,0.062219567458368506,0.09898431701860319,0.25891446955560005
44,0.0,0.14088441861908857,0.0,0.3642720650395969,0.063411744894768,0.1566297010874971,0.2748020703590493
45,0.0,0.07471950812989067,0.0,0.40959478972006724,0.04755533923425343,0.16371591038008976,0.3044144525356989
46,0.0,0.14035499360712284,0.0,0.42273624934929294,0.08105184798312924,0.13133523702448288,0.2245216720359721
47,0.0,0.08257822430398644,0.0,0.36685096000426054,0.13728022371919085,0.2140521820675773,0.199238409904985
48,0.0,0.14990754915500806,0.0,0.3745055236581045,0.044929927208443216,0.30742609483986627,0.12323090513857786
49,0.0,0.1388932234342432,0.0,0.39846399122712856,0.03435936297824751,0.2897172512877102,0.13856617107267064
50,0.0,0.1822975761852838,0.0,0.364103743199776,0.10436841495811557,0.3036113909247035,0.04561887473212127
