,BA,TSLA,V,NVDA,MA,CAT,BRK-B
0,0.16916178909875207,0.06079547384916372,0.3690148426694962,0.23597973009724918,0.1650481642853388,0.0,0.0
1,0.14535921741956062,0.01799398331734796,0.557079959072078,0.2287975417382139,0.04171452282696034,0.0,0.009054775625839083
2,0.09356532699133435,0.0,0.5710320042515091,0.152388504325113,0.1830141644320436,0.0,0.0
3,0.08984725927881175,0.0,0.5992047793106476,0.16838365525424337,0.14256430615629723,0.0,0.0
4,0.02447296285268841,0.0,0.6750371909880473,0.19268420500007127,0.10780564115919315,0.0,0.0
5,0.05043475175918934,0.0,0.6778575654021279,0.18830247473922937,0.08340520809945333,0.0,0.0
6,0.1102891012884224,0.0,0.6185799545272984,0.22715215699736852,0.04397878718691068,0.0,0.0
7,0.05837163802720762,0.0,0.4197017324571115,0.2043946230231498,0.2744486689181718,0.0,0.043083337574359275
8,0.06484070884965196,0.0,0.3407145235846067,0.18612351537689223,0.35403361743162126,0.0,0.054287634757227865
9,0.024278744957458555,0.010168781121960032,0.39596988152017487,0.19352203209762633,0.3760605603027804,0.0,0.0
10,0.0,0.030847799482615818,0.5542887311253404,0.156231669478525,0.2586317999135189,0.0,0.0
11,0.0,0.04196376212195236,0.46242621985579635,0.2373991256863993,0.25821089233585187,0.0,0.0
12,0.0,0.0,0.6594017858546484,0.34059821414535163,0.0,0.0,0.0
13,0.0,0.005962409154485159,0.6463304569640578,0.34770713388145713,0.0,0.0,0.0
14,0.0,0.0,0.6622128763829952,0.3377871236170047,0.0,0.0,0.0
15,0.0,0.032039541984823804,0.5997314725654058,0.3664126590818588,0.0018163263679118833,0.0,0.0
16,0.0,0.06209921904511651,0.44202103333735865,0.4048945507428152,0.09098519687470945,0.0,0.0
17,0.0,0.050543447413062506,0.38339114255000967,0.43604672023623253,0.13001868980069528,0.0,0.0
18,0.0,0.052392993587940084,0.2017436893748334,0.511906878287377,0.23395643874984945,0.0,0.0
19,0.0,0.07447133864811666,0.33158068816772324,0.5939479731841601,0.0,0.0,0.0
20,0.0,0.09644602320955781,0.3495195041992634,0.5540344725911789,0.0,0.0,0.0
21,0.0,0.11802108821230092,0.3605057387869503,0.5051074876388864,0.016365685361862493,0.0,0.0
22,0.0,0.1586835070127649,0.23848869075804288,0.6028278022291922,0.0,0.0,0.0
23,0.0,0.10747550080930202,0.2491536507529383,0.573851029456977,0.04961332078205174,0.01990649819873102,0.0
24,0.0,0.08817385708956471,0.2915345819304867,0.5631003273341718,0.0,0.05719123364577683,0.0
25,0.0,0.10225896705275,0.08883890940297169,0.6116888650997159,0.09449142094836872,0.10272183749619379,0.0
26,0.0,0.09218744011608333,0.19904906521453167,0.5658427441381956,0.0,0.14292075053118947,0.0
27,0.0,0.09161088054077134,0.19573521052052698,0.5264752066980215,0.0,0.18617870224068028,0.0
28,0.0,0.1115599427121319,0.23506233699519782,0.5143390395429666,0.0,0.1390386807497037,0.0
29,0.0,0.12152057864769569,0.15810432979690012,0.5567562010310385,0.0,0.16361889052436576,0.0
30,0.0,0.1342684118425942,0.05736935178809979,0.5404665406559453,0.11156840261566253,0.15632729309769805,0.0
31,0.0,0.1568088682071485,0.0,0.5067887985136157,0.14674257864444434,0.18965975463479157,0.0
32,0.0,0.160462588421085,0.0,0.5627324839515806,0.15353758436327924,0.12326734326405508,0.0
33,0.0,0.12545573200683172,0.0,0.47163211461788807,0.2711680415929522,0.131744111782328,0.0
34,0.0,0.10332082975856537,0.0,0.42023855122500287,0.3691574225438546,0.10728319647257704,0.0
35,0.0,0.11719156961128463,0.0,0.4125678629741408,0.35467494674133787,0.11556562067323668,0.0
36,0.0,0.12605494210346,0.0,0.3846602358601664,0.37322576872315016,0.11605905331322339,0.0
37,0.0,0.12040435619345344,0.0,0.2654645869724429,0.48030988918250567,0.133821167651598,0.0
38,0.0,0.12107167708064064,0.0,0.2501150826505723,0.4594769536315149,0.16933628663727213,0.0
39,0.0,0.17828630592932926,0.0,0.27528883020509776,0.4851199724398104,0.061304891425762585,0.0
40,0.0,0.20004259160868634,0.0,0.2516648836180423,0.4163564351217899,0.13193608965148138,0.0
41,0.0,0.2620976774918299,0.0,0.16018455660439532,0.49706035814570027,0.08065740775807433,0.0
42,0.0,0.3385162227713955,0.0,0.07567848784458116,0.4731199856674974,0.11268530371652594,0.0
43,0.0,0.23753985093617136,0.0,0.0804258697370689,0.4812684268586227,0.20076585246813702,0.0
44,0.0,0.1847178626323102,0.0,0.1768402223739032,0.4651524952793079,0.1732894197144786,0.0
45,0.0,0.10683126505451376,0.0,0.13668525963338427,0.4989827335466071,0.25750074176549503,0.0
46,0.0,0.10134989028935916,0.0,0.22439298230266125,0.5067666503186501,0.16749047708932951,0.0
47,0.0,0.13474272818809607,0.0,0.22789848180237696,0.47121944622018525,0.1661393437893417,0.0
48,0.0,0.10130082422527165,0.0,0.31527417324960616,0.5306721867295653,0.0527528157955568,0.0
49,0.0,0.08596835780928863,0.0,0.30688794157061944,0.607143700620092,0.0,0.0
50,0.0,0.0872695617000583,0.0,0.39921991032899623,0.5135105279709455,0.0,0.0
