,V,PEP,MSFT,BAC,GM,BRK-B,TSLA
0,0.4790570083755648,0.04672635720101006,0.2857094730282205,0.0,0.0,0.12266951477030133,0.06583764662490334
1,0.5211428259320695,0.0,0.38185382666488954,0.0,0.0,0.06814925881805908,0.028854088584981816
2,0.5992066288872293,0.09064720393312196,0.31014616717964866,0.0,0.0,0.0,0.0
3,0.5555180965448387,0.10028105576292586,0.34420084769223547,0.0,0.0,0.0,0.0
4,0.6156719265119621,0.0338007767527701,0.3505272967352677,0.0,0.0,0.0,0.0
5,0.5857059676825357,0.11739261569623122,0.29526670297711427,0.0,0.0,0.0,0.0016347136441189675
6,0.4402758935412795,0.1702473610644718,0.38749480052597324,0.0,0.0,0.0,0.0019819448682755216
7,0.4734674868721203,0.1711966675244689,0.318622781994783,0.0,0.0,0.03671306360862786,0.0
8,0.44528993982185777,0.1669881611499244,0.3594094033296531,0.0,0.0,0.02831249569856497,0.0
9,0.5608134566037776,0.11901851714492254,0.30601504327650186,0.0,0.0,0.0,0.014152982974797853
10,0.6764828615096663,0.023695327850512076,0.2740008321999327,0.0,0.0,0.0,0.02582097843988895
11,0.5834041273971475,0.0,0.3766490037134855,0.0,0.0,0.0,0.039946868889367125
12,0.47276836772953373,0.0,0.5272316322704662,0.0,0.0,0.0,0.0
13,0.49870710232977716,0.0,0.5001834804125406,0.0,0.0,0.0,0.0011094172576822546
14,0.5847625951212101,0.0,0.41523740487878985,0.0,0.0,0.0,0.0
15,0.5165789403705163,0.0,0.4673182287099767,0.0,0.0,0.0,0.01610283091950707
16,0.4030706842298948,0.0,0.5438234258283913,0.0,0.0,0.0,0.05310588994171402
17,0.3428317835147166,0.0,0.5980298846395643,0.0,0.0,0.0,0.05913833184571916
18,0.2649588137871718,0.0,0.6707758361069224,0.0,0.0,0.0,0.06426535010590576
19,0.0,0.0,0.9407209135082558,0.0,0.0,0.0,0.05927908649174411
20,0.008212496306081864,0.0,0.9063682366923038,0.0,0.0,0.0,0.08541926700161429
21,0.0,0.0,0.9053761114661089,0.0,0.0,0.0,0.09462388853389112
22,0.0,0.0,0.9065490399373322,0.0,0.0,0.0,0.09345096006266776
23,0.0,0.0,0.9414299320800903,0.0,0.0,0.0,0.058570067919909694
24,0.0,0.0,0.9604920085991583,0.0,0.0,0.0,0.039507991400841685
25,0.0,0.0,0.9567888673176812,0.0,0.0,0.0,0.04321113268231876
26,0.0,0.0,0.9706370108555499,0.0,0.0,0.0,0.02936298914444998
27,0.0,0.0,0.9685466771756144,0.0,0.0,0.0,0.031453322824385684
28,0.0,0.0,0.9783831862161583,0.0,0.0,0.0,0.021616813783841643
29,0.0,0.0,0.9831083810680279,0.0,0.0,0.0,0.016891618931971965
30,0.0,0.0,0.9642957568007346,0.0,0.0,0.0,0.035704243199265455
31,0.0,0.0,0.9387114380769654,0.0,0.0,0.0,0.061288561923034425
32,0.0,0.0,0.953619036653069,0.0020050793813259677,0.0,0.0,0.04437588396560496
33,0.0,0.0,0.968637475636304,0.0,0.0,0.0,0.03136252436369594
34,0.0,0.0,0.9977816710156133,0.0,0.0,0.0,0.0022183289843867586
35,0.0,0.0,0.9630941621936123,0.0,0.0,0.02757210229490395,0.009333735511483874
36,0.0,0.0,0.9523973510377048,0.0,0.0,0.025227368875412506,0.022375280086882512
37,0.028312533670484825,0.0,0.9525445927474431,0.0,0.0,0.0,0.019142873582072086
38,0.014537764904593754,0.0,0.9657130013880441,0.0,0.0,0.0,0.019749233707362184
39,0.0,0.0,0.9775316935821152,0.0,0.0,0.0,0.02246830641788464
40,0.0,0.0,0.9584322796026804,0.0,0.0,0.0,0.04156772039731973
41,0.0,0.08265809767979322,0.8642767047860149,0.0,0.0,0.0,0.05306519753419193
42,0.0,0.018439907394713385,0.8916315651777331,0.0,0.0,0.0,0.08992852742755354
43,0.018786032991240455,0.20260910255261613,0.736154462289154,0.0,0.0,0.0,0.04245040216698936
44,0.0,0.11730160817817116,0.862402275210094,0.0,0.0,0.0,0.020296116611734794
45,0.0,0.12537804790722487,0.8746219520927749,0.0,0.0,0.0,0.0
46,0.07831083059397366,0.015005682997181656,0.9066834864088446,0.0,0.0,0.0,0.0
47,0.0,0.03509392414491586,0.9615807641847474,0.0,0.0,0.0,0.0033253116703367063
48,0.0,0.03150807117464379,0.9684919288253563,0.0,0.0,0.0,0.0
49,0.0,0.06732435673701756,0.9326756432629826,0.0,0.0,0.0,0.0
50,0.0,0.0226184762694688,0.9773815237305312,0.0,0.0,0.0,0.0
