,XOM,GOOG,TMO,CSCO,META,CMCSA,HD
0,0.0,0.0,0.20851507878193323,0.16509756107009035,0.2657432797467756,0.0,0.36064408040120066
1,0.0,0.0,0.16338917391901003,0.16417892053697067,0.318998803253073,0.0,0.3534331022909462
2,0.0,0.0,0.2145400913799958,0.1847924705577344,0.2405442778269741,0.0,0.36012316023529584
3,0.0,0.0,0.23339917870370583,0.18830107779765026,0.19986658211629033,0.0,0.37843316138235356
4,0.0,0.0,0.11289049682708871,0.25045270280575854,0.22853147212015895,0.0,0.4081253282469938
5,0.0,0.0,0.13063538119124038,0.16397669429135944,0.24230543655518294,0.0,0.46308248796221735
6,0.0,0.0,0.11663215731071862,0.19299265358038656,0.1942288862469786,0.0,0.4961463028619162
7,0.0,0.0,0.10058031101731034,0.17579835377980177,0.1384462493930252,0.0,0.5851750858098627
8,0.0,0.0,0.1568113097757196,0.16782374103663011,0.1700360866735169,0.0,0.5053288625141332
9,0.0,0.0,0.16915004751047913,0.13732223198787533,0.23287340513047866,0.0,0.46065431537116686
10,0.0,0.06186735393617379,0.1731062121140297,0.08020356997278368,0.20569568041421218,0.0,0.4791271835628006
11,0.0,0.005120976681448935,0.1877967606127981,0.0,0.23136471726630273,0.0,0.5757175454394501
12,0.0,0.0,0.36513265517360816,0.013060265146227686,0.14476445842942118,0.0,0.4770426212507429
13,0.0,0.0,0.3629307742340801,0.01720719349986709,0.10338797215123265,0.0,0.5164740601148203
14,0.0,0.0,0.37715329679229354,0.06410371903376219,0.11942424138965042,0.0,0.43931874278429384
15,0.0,0.0,0.4158315952974141,0.028703137719500213,0.07144777051581415,0.0,0.4840174964672715
16,0.0,0.0,0.5023400663958786,0.028152925825605756,0.12610324003160236,0.0,0.3434037677469132
17,0.0,0.02872633488854962,0.4137756717324676,0.0,0.17136656972616243,0.0,0.3861314236528206
18,0.0,0.0,0.5939262900087691,0.0,0.1061219731739376,0.0,0.2999517368172934
19,0.0,0.03958815574832117,0.6492193004921502,0.0,0.11122828527324548,0.0,0.19996425848628305
20,0.0,0.13198211061112794,0.5941054268306091,0.0,0.1258170299565057,0.0,0.1480954326017571
21,0.0,0.19825449990518712,0.5820156773334905,0.01708482816108087,0.09346064229814367,0.0,0.10918435230209785
22,0.0,0.1529792516750881,0.6553501229532038,0.0,0.04522829151175314,0.0,0.1464423338599549
23,0.0,0.45243500621498123,0.4814751951928263,0.0,0.03275117253687026,0.0,0.03333862605532224
24,0.0,0.398553158404426,0.3863128742219585,0.0440324921906064,0.0,0.0,0.17110147518300917
25,0.0,0.41685943525068386,0.3674755020515211,0.029018241115396366,0.0,0.0,0.18664682158239873
26,0.0,0.3407157494859306,0.45717416406071454,0.10922696662537827,0.033033223088761755,0.0,0.05984989673921469
27,0.0,0.34473426936393475,0.503041703490774,0.09060580927583187,0.033738271694794736,0.0,0.027879946174664643
28,0.0,0.34381233334446276,0.5212531903046839,0.09034135334110159,0.01804437581948321,0.0,0.02654874719026864
29,0.0,0.35420000534049795,0.480282098128693,0.13634488738142564,0.02917300914938356,0.0,0.0
30,0.0,0.293425577963155,0.5725506594375286,0.10848277645377674,0.0,0.0,0.025540986145539693
31,0.0,0.236180691560594,0.5707305649277846,0.16868410125685698,0.0,0.0,0.02440464225476428
32,0.0,0.2357188678989968,0.5636519966584722,0.07592620680918295,0.0,0.0,0.12470292863334811
33,0.0,0.2181029602478157,0.559875344634599,0.10933904795216655,0.0,0.0,0.1126826471654187
34,0.0,0.38348033035915274,0.49179716619904895,0.07876325103067927,0.0,0.0,0.04595925241111904
35,0.0,0.4382862563628479,0.4633678526115303,0.09834589102562193,0.0,0.0,0.0
36,0.0,0.4561319884175403,0.4686915086264296,0.07517650295603018,0.0,0.0,0.0
37,0.0,0.31037063880253685,0.6287886329255575,0.01367123593448795,0.0,0.0,0.047169492337417566
38,0.0,0.2571130298163459,0.6792234266130854,0.0,0.0,0.0,0.06366354357056876
39,0.0,0.27899554356452855,0.6865864535479715,0.0,0.0,0.0,0.03441800288749994
40,0.0,0.1813206575394003,0.739037468067845,0.0,0.0,0.0,0.07964187439275472
41,0.0,0.21312359133475317,0.7868764086652468,0.0,0.0,0.0,0.0
42,0.0,0.1076398150873216,0.8837733350098558,0.0,0.0,0.0,0.008586849902822456
43,0.026296247081547153,0.05910845530073894,0.8176102824521153,0.0,0.0,0.0,0.09698501516559845
44,0.03584802184633878,0.05569740906364511,0.8225756434997876,0.0,0.0,0.0,0.08587892559022843
45,0.04147999084476468,0.0,0.9014592560932989,0.0,0.0,0.0,0.05706075306193654
46,0.06724006410218618,0.0,0.898155583316738,0.0,0.0,0.0,0.03460435258107598
47,0.06412303737098161,0.0,0.9050539775732062,0.03082298505581233,0.0,0.0,0.0
48,0.04257161256594962,0.0,0.8852002152592933,0.0722281721747573,0.0,0.0,0.0
49,0.09601231804250583,0.0246569666760421,0.8372792513676202,0.0,0.0,0.0,0.04205146391383188
50,0.024448123137621937,0.30019091060986,0.6330627542889347,0.01673071473716005,0.0,0.0,0.02556749722642356
