,F,PFE,CMCSA,DE,PG,GLW,TSLA
0,0.0,0.23869592120223912,0.016859050924808144,0.2662933706050621,0.16315918884835506,0.1966694421199295,0.11832302629960614
1,0.0,0.1843809065675745,0.0978311578514636,0.2923535491621601,0.16763455694690518,0.1688810691435313,0.0889187603283654
2,0.0,0.35027303625177314,0.22689963023474963,0.12540825967844468,0.11934722488331247,0.17807184895172015,0.0
3,0.0,0.32156329091559194,0.12230395159121725,0.18235091575250106,0.21779546027131233,0.15598638146937752,0.0
4,0.0,0.1820433170582528,0.10969426372915808,0.23670304848284532,0.37626192959453086,0.0637170256955035,0.03158041543970952
5,0.0,0.06968854155096171,0.16079150853511132,0.22848364935444146,0.4398557770609543,0.04532535526808579,0.05585516823044537
6,0.0,0.13035102947746377,0.09948324138512968,0.20364954571927377,0.5250919371584334,0.00453807718485881,0.036886169074840505
7,0.0,0.16225190243315685,0.0,0.2225987355698635,0.5825240623395075,0.003492636853031403,0.02913266280444069
8,0.0,0.15425160851878428,0.03359807660846746,0.2288565850510804,0.5759024394715402,0.0,0.007391290350127675
9,0.0,0.1514493989887596,0.06374686071828034,0.2012121285907013,0.5291131641396412,0.0,0.05447844756261756
10,0.0,0.15166745503167467,0.012462017417918437,0.17079601114690376,0.5512880756682433,0.0,0.11378644073525998
11,0.0,0.10555538343517284,0.0,0.2537167920727464,0.4936228594954045,0.0,0.14710496499667625
12,0.0,0.11119142948195071,0.0,0.17879269708124712,0.6213778660334729,0.0,0.08863800740332944
13,0.0,0.16230402911712052,0.0,0.1818956613544953,0.5562776768177045,0.0,0.09952263271067963
14,0.0,0.15312148852433655,0.0,0.2535151149155089,0.4894380622982411,0.0,0.10392533426191355
15,0.0,0.0,0.0,0.31867874517164674,0.5233382280267376,0.0,0.15798302680161574
16,0.0,0.023236070957228912,0.0,0.3114536533127376,0.49290952412592015,0.0,0.1724007516041133
17,0.0,0.010989965434975432,0.0,0.33825189504354986,0.4688406918071103,0.0,0.18191744771436422
18,0.0,0.0,0.0,0.36787144104561925,0.4593322277678445,0.0,0.17279633118653628
19,0.0,0.0,0.0,0.3309053168189061,0.5286731887915832,0.0,0.14042149438951065
20,0.0,0.0,0.0,0.3279707796048564,0.509578123683206,0.0,0.16245109671193772
21,0.0,0.0,0.0,0.31012507771758363,0.5153797326425008,0.0,0.17449518963991548
22,0.0,0.0,0.0,0.37183018582485955,0.4462372393772021,0.0,0.18193257479793834
23,0.0,0.0,0.0,0.44928038406952525,0.4022999229294685,0.0,0.14841969300100627
24,0.0,0.0,0.0,0.41422649579321996,0.45995224998194195,0.0,0.12582125422483814
25,0.0,0.0,0.0,0.4129228014162811,0.4563305878697541,0.0,0.13074661071396487
26,0.0,0.0,0.0,0.39836047237881184,0.5100425386011203,0.0,0.09159698902006791
27,0.0,0.0,0.0,0.4393289859750931,0.46349795922087034,0.0,0.09717305480403654
28,0.0,0.0,0.0,0.42935245284038487,0.4569856470593673,0.0,0.11366190010024779
29,0.0,0.0,0.0,0.42700469844466726,0.467045028304817,0.0,0.1059502732505157
30,0.0,0.0,0.0,0.4363120589979163,0.4326519128486335,0.0,0.13103602815345014
31,0.0,0.0,0.0,0.435673027646171,0.3795293706210012,0.0,0.184797601732828
32,0.0,0.10944783701870006,0.0,0.37214971884293846,0.3499021009388395,0.0,0.168500343199522
33,0.0,0.12609521952704011,0.0,0.3490632792670485,0.39618779876348587,0.0,0.12865370244242555
34,0.0,0.031214939923441962,0.0,0.3846506403847986,0.46188453402564694,0.0,0.12224988566611258
35,0.0,0.0,0.0,0.40883903641070996,0.45533033073072343,0.0,0.13583063285856672
36,0.0,0.0,0.0,0.4630553998258503,0.37957328840079013,0.0,0.1573713117733596
37,0.0,0.0,0.0,0.41797782856264376,0.463261274432735,0.0,0.11876089700462121
38,0.0,0.02556935808827123,0.0,0.44189678745286604,0.38883196151565996,0.0,0.14370189294320285
39,0.0,0.08692763620083797,0.0,0.3708924854897913,0.3756466313014815,0.0,0.16653324700788943
40,0.0,0.10256412431903485,0.0,0.3567455713659894,0.3577908094493821,0.0,0.1828994948655937
41,0.0,0.01926435450210561,0.0,0.33531705592574845,0.4606956428110674,0.0,0.18472294676107867
42,0.0,0.03469199879581243,0.0,0.3675062273497724,0.3724593549796565,0.0,0.22534241887475864
43,0.0,0.07976364398855965,0.0,0.4095135526365875,0.3443106459659505,0.0,0.16641215740890225
44,0.0,0.057172670733090014,0.0,0.42491447079408784,0.37588240767506004,0.0,0.14203045079776216
45,0.0,0.08762929729553152,0.0,0.42153827056375753,0.4188719730758444,0.0,0.07196045906486656
46,0.0,0.0,0.0,0.4402918631001041,0.45151799885668553,0.0,0.10819013804321044
47,0.0,0.0,0.0,0.42519957010079296,0.44291920470715956,0.0,0.13188122519204756
48,0.0,0.0,0.0,0.35934795540403136,0.5241578974686548,0.0,0.11649414712731382
49,0.0,0.0,0.0,0.2961833995178167,0.5936680171253093,0.0,0.11014858335687414
50,0.0,0.0,0.0,0.36949146269373834,0.4856623155108872,0.0,0.14484622179537446
