,AA,ABBV,TSLA,INTC,CAT,AVGO,PG
0,0.006715998576583812,0.0909333628862941,0.022184187368322766,0.10590162577248319,0.0,0.5613425207828862,0.21292230461342992
1,0.006191417977521778,0.06226032421083469,0.0,0.1099758698278777,0.0,0.6380831208380089,0.18348926714575706
2,0.0,0.13025270426705368,0.0,0.056428719613458606,0.0,0.5721532814441769,0.24116529467531092
3,0.0,0.10559322075450564,0.0,0.06283621353647151,0.0,0.5450948855837581,0.28647568012526486
4,0.0,0.05886787219214179,0.0,0.08400229264576253,0.0,0.5382000740409456,0.3189297611211501
5,0.0,0.06256770454290557,0.0,0.06158109714903204,0.0,0.5679464560509783,0.3079047422570841
6,0.0,0.09279180819144196,0.0,0.09083987001389202,0.0,0.46301060765092683,0.35335771414373923
7,0.0,0.10831318850952977,0.0,0.13353871641750104,0.0,0.3750453284342745,0.3831027666386947
8,0.0,0.12565653050030703,0.0,0.1413160777496603,0.0,0.3749073977696546,0.35811999398037814
9,0.0,0.12739970999917466,0.0,0.14338995423629533,0.0,0.36191994591482113,0.367290389849709
10,0.0,0.08768273977982878,0.039333775466195625,0.16757380213310477,0.0,0.36498558189233843,0.34042410072853224
11,0.0,0.15283084089477142,0.07096520559907715,0.09355708588480129,0.0,0.3834676508322723,0.29917921678907783
12,0.0,0.11467506492950998,0.0239111871548218,0.09587106732133391,0.0,0.38028886510377136,0.3852538154905629
13,0.0,0.1520369363482458,0.044713285283031576,0.0,0.0,0.39242936746028917,0.4108204109084336
14,0.0,0.18384895942975985,0.04264890127115898,0.0,0.0,0.39730415922012097,0.3761979800789602
15,0.0,0.17158167366152904,0.07474551525164067,0.0,0.0,0.3762702827805878,0.3774025283062423
16,0.0,0.12617536514883892,0.10283659250907685,0.0,0.0,0.3795958452927744,0.39139219704930983
17,0.0,0.10652694498385847,0.12430480010147688,0.0,0.0,0.39065758100521214,0.3785106739094526
18,0.0,0.09426948150237505,0.12091557547937407,0.0,0.0,0.39483298931592686,0.38998195370232414
19,0.0,0.06913109983726422,0.1013936978601991,0.0,0.11864564358567385,0.2515226697340865,0.4593068889827764
20,0.0,0.07656512400868684,0.11956983446440361,0.0,0.13366823796285884,0.19975425937704422,0.47044254418700654
21,0.0,0.07106947161009614,0.12913906601811953,0.0,0.1477537332248639,0.1776897534751504,0.47434797567177
22,0.0,0.022178157916503235,0.14080859758539094,0.0,0.13161875492152633,0.30581282922383785,0.3995816603527416
23,0.0,0.0017545199342498647,0.12752971979061842,0.0,0.2531652648565727,0.2253057401306683,0.3922447552878907
24,0.0,0.0,0.09310877505876174,0.04186836141348253,0.21234481683533094,0.24055169945089577,0.4121263472415289
25,0.0,0.0,0.09598122793609849,0.0,0.24061265553808425,0.26501490580661463,0.3983912107192027
26,0.0,0.03205499786304123,0.07351467973932975,0.0,0.21787530632373292,0.2054197690196092,0.471135247054287
27,0.0,0.07069221744065142,0.07654133109882048,0.0,0.22195876337286422,0.18860417037642352,0.4422035177112402
28,0.0,0.07640004936763936,0.08611589645230314,0.0,0.16723795934702723,0.2292079128828853,0.44103818195014505
29,0.0,0.09647487428495949,0.07969257643124143,0.0,0.1654300756564856,0.19660396821467516,0.46179850541263834
30,0.0,0.04712298862666895,0.10956891442089595,0.0,0.21644331814295698,0.18232073804171772,0.4445440407677604
31,0.0,0.03765046837679741,0.1470271530827071,0.0,0.2644912355530044,0.20401527137130995,0.34681587161618116
32,0.0,0.07556053648586435,0.13509112012948526,0.0,0.15957332095073873,0.259366611054399,0.37040841137951275
33,0.0,0.09062708223231737,0.12099147795316231,0.0,0.13700358270998803,0.2628294613358131,0.3885483957687192
34,0.0,0.09201009404168925,0.11018092639588384,0.0,0.13639535416790988,0.22746036121962174,0.4339532641748954
35,0.0,0.12265472592721828,0.11593191338299755,0.0,0.1318006697866416,0.21377596290728182,0.4158367279958607
36,0.0,0.13100188346593056,0.136724666013292,0.0,0.1506544356771009,0.227659425067095,0.3539595897765816
37,0.0,0.11198643295619694,0.11552168596068929,0.0,0.14205587213185042,0.15200312901695612,0.4784328799343073
38,0.0,0.1237748595908039,0.1287781032998142,0.0,0.1802524092979261,0.17699132099749276,0.39020330681396304
39,0.0,0.26273156244686496,0.13811821042164507,0.0,0.011260393226834432,0.1629683000114338,0.4249215338932217
40,0.0,0.2494669657518846,0.15221380863519196,0.0,0.07630525405156305,0.130913261097882,0.3911007104634785
41,0.0,0.22917676741707937,0.15780303349497682,0.0,0.0,0.1454469671435524,0.46757323194439154
42,0.0,0.2829541449285959,0.19116730272663096,0.0,0.0,0.10880514437637115,0.41707340796840203
43,0.0,0.29307171751904953,0.15186773508265622,0.0,0.08818742164927032,0.0252079854728362,0.44166514027618764
44,0.0,0.29769415336989274,0.12961828512971832,0.0,0.07742531583756712,0.05194573319460292,0.44331651246821896
45,0.0,0.2767727355547832,0.07413386625854687,0.0,0.09718997234736523,0.07079474949424752,0.4811086763450571
46,0.0,0.2409682747373124,0.0984558294239534,0.0,0.0901742422299212,0.1262534854166266,0.4441481681921864
47,0.0,0.2847558017298949,0.112491971628894,0.0,0.06048163750321636,0.11171309575870784,0.430557493379287
48,0.0,0.24883629716601158,0.09550812041970873,0.0,0.0,0.1888489815728616,0.466806600841418
49,0.0,0.2538685904428554,0.08882874619452123,0.0,0.0,0.14863863747614706,0.5086640258864763
50,0.0,0.18133262587491578,0.09280981966375358,0.0,0.0,0.3337882872794208,0.3920692671819099
