,ORCL,JNJ,T,JPM,AA,BAC,BRK-B
0,0.11070095121117637,0.4471278102942784,0.0,0.21243277930027782,0.009957263709820413,0.0,0.21978119548444683
1,0.06881627629133054,0.3506800051766089,0.0,0.2617306145246198,0.0,0.0,0.3187731040074407
2,0.0,0.4772814317942377,0.0,0.3853283171964557,0.0,0.0,0.13739025100930663
3,0.0,0.47364373092637263,0.023141231680583327,0.34759695109720046,0.0,0.0,0.15561808629584348
4,0.023075112319686678,0.31080556780038254,0.03988794921014257,0.5222005260338631,0.0,0.0,0.10403084463592505
5,0.0,0.2546106868918385,0.14573665227751367,0.3859859829848426,0.0,0.0,0.21366667784580531
6,0.0,0.30924497899835246,0.18966533764676072,0.39639279101552644,0.0,0.0,0.10469689233936019
7,0.0,0.2680732155271364,0.2015608566332934,0.37177915085755153,0.0,0.0,0.15858677698201876
8,0.0,0.26097189052104164,0.21590085244940893,0.3947613572148066,0.0,0.0,0.12836589981474303
9,0.0,0.30145348284553786,0.20604140460152556,0.4213894487717488,0.0,0.0,0.07111566378118794
10,0.0,0.33151842074201826,0.15412430517403478,0.514357274083947,0.0,0.0,0.0
11,0.0,0.22728841307030642,0.1828558314712275,0.5898557554584661,0.0,0.0,0.0
12,0.0,0.5822157264375802,0.0,0.41778427356241976,0.0,0.0,0.0
13,0.0,0.718524338151683,0.0,0.28147566184831696,0.0,0.0,0.0
14,0.0,0.6795892346500134,0.0,0.3204107653499865,0.0,0.0,0.0
15,0.20693377850206227,0.4897148739585459,0.0,0.30335134753939197,0.0,0.0,0.0
16,0.12679564261502216,0.547207362184493,0.0,0.32599699520048514,0.0,0.0,0.0
17,0.0,0.6378249762606261,0.0,0.36217502373937394,0.0,0.0,0.0
18,0.0,0.7273122913973123,0.0,0.2726877086026879,0.0,0.0,0.0
19,0.0,0.4788323098027321,0.0,0.5211676901972679,0.0,0.0,0.0
20,0.0,0.48906955104888633,0.0,0.5109304489511136,0.0,0.0,0.0
21,0.0,0.5330442532304589,0.0,0.4669557467695412,0.0,0.0,0.0
22,0.0,0.6097549223314797,0.0,0.3902450776685203,0.0,0.0,0.0
23,0.0,0.5213201694129073,0.0,0.4786798305870927,0.0,0.0,0.0
24,0.11300931101100897,0.5124665063006411,0.0,0.37452418268835,0.0,0.0,0.0
25,0.2687383006088947,0.3865574282263192,0.0,0.3447042711647861,0.0,0.0,0.0
26,0.2673116548833349,0.3893050664945684,0.0,0.2951468490563395,0.0,0.0,0.04823642956575714
27,0.3183651441476384,0.35622130631800336,0.0,0.3099722197530355,0.0,0.0,0.015441329781322798
28,0.4015105742798362,0.3280575522926681,0.0,0.2704318734274957,0.0,0.0,0.0
29,0.391778552707445,0.2924690651919886,0.0,0.22635624721706393,0.0,0.0,0.08939613488350241
30,0.5501580758559423,0.13187037556956677,0.0,0.31797154857449084,0.0,0.0,0.0
31,0.575697065092673,0.026182648406787554,0.0,0.3981202865005393,0.0,0.0,0.0
32,0.5451351194186528,0.0,0.0,0.45486488058134716,0.0,0.0,0.0
33,0.36762220033524223,0.18696794902659467,0.0,0.44540985063816324,0.0,0.0,0.0
34,0.31047518855430023,0.1674204783969022,0.0,0.0623675857427871,0.0,0.196662609258555,0.26307413804745555
35,0.2354478851371463,0.016191041616421396,0.0,0.0,0.0,0.1200040342546054,0.6283570389918268
36,0.24961627223238914,0.0,0.0,0.0,0.0,0.12630168333450564,0.6240820444331051
37,0.17446767425039392,0.07120195071416738,0.0,0.0,0.0,0.03699600044004666,0.7173343745953921
38,0.14919257473263164,0.22135715936996755,0.0,0.12112457370384136,0.0,0.0,0.5083256921935593
39,0.3055236116427246,0.34598666745594325,0.0,0.030583358282043407,0.0,0.0,0.31790636261928856
40,0.3848775824924868,0.23593855877227934,0.0,0.0,0.0,0.0,0.3791838587352339
41,0.4465678962795401,0.3240040596807181,0.0,0.0,0.0,0.0,0.2294280440397418
42,0.26388889563275647,0.5339351297061474,0.0,0.0,0.0,0.0,0.20217597466109613
43,0.3003984244861205,0.5273560095154173,0.0,0.0,0.0,0.0,0.1722455659984623
44,0.3083201087097322,0.4044079391564943,0.0,0.0,0.0,0.0,0.2872719521337735
45,0.2512046108945624,0.3805198280231533,0.0,0.0,0.0,0.0,0.36827556108228443
46,0.3779608880019667,0.16754703644435176,0.0,0.0,0.0,0.0,0.4544920755536816
47,0.4002112546883328,0.0,0.0,0.1267029998321118,0.0,0.0,0.4730857454795553
48,0.41165415166945474,0.0,0.0,0.0,0.0,0.0,0.5883458483305452
49,0.40135323608837287,0.0,0.0,0.0,0.0,0.0,0.598646763911627
50,0.6236281002654714,0.0,0.0,0.0,0.0,0.0,0.37637189973452856
