,CVX,ORCL,BAC,JPM,FDX,KO,BA
0,0.0,0.043680464711380956,0.0,0.28001485328309383,0.0,0.06949868925094042,0.6068059927545849
1,0.0,0.0,0.0,0.33122263654776113,0.0,0.13735806574983375,0.531419297702405
2,0.0,0.0,0.0,0.32456352416424145,0.0,0.261874716418853,0.4135617594169057
3,0.0,0.0,0.0,0.33284526358568217,0.0,0.3030178657790876,0.3641368706352302
4,0.0,0.0,0.0,0.39355963186342735,0.0,0.33045806237623104,0.2759823057603417
5,0.0,0.0,0.0,0.28658486603507277,0.0,0.39295645697888326,0.32045867698604397
6,0.0,0.0,0.0,0.32624196782198955,0.0,0.3314108987626003,0.34234713341541045
7,0.0,0.0,0.0,0.33549605147931394,0.0,0.43520828524543964,0.22929566327524636
8,0.0,0.0,0.0,0.35065545216685867,0.0,0.40236639993157053,0.24697814790157102
9,0.0,0.0,0.0,0.3506611317060401,0.0,0.4435652562046485,0.20577361208931133
10,0.0,0.0,0.0,0.378862465714388,0.0,0.43809032726978714,0.18304720701582491
11,0.0,0.0,0.0,0.4336529427639432,0.0,0.4017849918611246,0.1645620653749321
12,0.0,0.0,0.0,0.8794168004996751,0.0,0.1205831995003249,0.0
13,0.0,0.08328625633264625,0.0,0.5545911291876388,0.0,0.3621226144797151,0.0
14,0.0,0.09039240896728723,0.0,0.6308099992838937,0.0,0.2787975917488191,0.0
15,0.0,0.4796493515032392,0.0,0.4841378542721753,0.0,0.03621279422458566,0.0
16,0.0,0.334431158333191,0.0,0.4246656933171608,0.0,0.24090314834964835,0.0
17,0.0,0.20891501980301166,0.0,0.6085118497682939,0.0,0.18257313042869447,0.0
18,0.0,0.22624093640819776,0.0,0.38819030234962665,0.0,0.3855687612421756,0.0
19,0.0,0.10231956903612467,0.0,0.656162052854441,0.0,0.24151837810943444,0.0
20,0.0,0.05939240048467748,0.0,0.6951287859762746,0.0,0.2454788135390478,0.0
21,0.0,0.13944455767510103,0.0,0.46326472762209503,0.0,0.3972907147028039,0.0
22,0.0,0.08295711969505848,0.0,0.779738772576315,0.0,0.13730410772862653,0.0
23,0.0,0.13289885972796583,0.0,0.7809525415836868,0.0,0.08614859868834765,0.0
24,0.0,0.3090447545556347,0.0,0.4626844159264599,0.0,0.2282708295179053,0.0
25,0.0,0.4321077219288506,0.0,0.4215686248392677,0.0,0.14632365323188176,0.0
26,0.0,0.44682767927452177,0.0,0.39343540511747693,0.0,0.1597369156080013,0.0
27,0.0,0.5084360418578441,0.0,0.41637201364721804,0.0,0.07519194449493785,0.0
28,0.0,0.5682927996446328,0.0,0.3455177483798861,0.0,0.08618945197548127,0.0
29,0.0,0.5959900961142401,0.0,0.35569880831905043,0.0,0.0483110955667093,0.0
30,0.0,0.6407673721016699,0.0,0.35923262789833016,0.0,0.0,0.0
31,0.0,0.5925865663813307,0.0,0.4074134336186693,0.0,0.0,0.0
32,0.0,0.5451351194186529,0.0,0.4548648805813471,0.0,0.0,0.0
33,0.0,0.47358855218547824,0.0,0.5264114478145218,0.0,0.0,0.0
34,0.0,0.43082172712942185,0.25139699565514273,0.16831109162804858,0.0,0.14947018558738684,0.0
35,0.0,0.34985923150193865,0.38362299778899817,0.0,0.0,0.2665177707090632,0.0
36,0.0,0.42041104897819787,0.3878790705976087,0.0,0.0,0.1917098804241934,0.0
37,0.027042947862833133,0.30813790266286595,0.2270636378598924,0.0,0.0,0.43775551161440845,0.0
38,0.14925015518899243,0.29682220881064453,0.0,0.19176954699399995,0.0,0.3621580890063631,0.0
39,0.029411331021711676,0.39831682220071757,0.0,0.088359413066204,0.0,0.4839124337113667,0.0
40,0.07979395702654755,0.49125686562784093,0.0,0.0,0.0,0.42894917734561144,0.0
41,0.040229335703819466,0.4343218491938333,0.0,0.0,0.0,0.5254488151023472,0.0
42,0.030558759205885317,0.41519883029914995,0.0,0.0,0.0,0.5542424104949646,0.0
43,0.1172128398754697,0.40315813563584324,0.0,0.0,0.0,0.47962902448868705,0.0
44,0.09895777735632937,0.3615328228709202,0.0,0.0,0.0,0.5395093997727503,0.0
45,0.1386153368542253,0.2956507861192533,0.0,0.0,0.0,0.5657338770265216,0.0
46,0.1265159427563767,0.4308763204044417,0.0,0.0,0.0,0.44260773683918164,0.0
47,0.07149262675311624,0.4326800375185523,0.0,0.1974285433322719,0.0,0.29839879239605965,0.0
48,0.12468403706864473,0.4237247749166741,0.0,0.0,0.0,0.4515911880146811,0.0
49,0.09906026199635924,0.4430023555359076,0.0,0.0,0.0,0.4579373824677332,0.0
50,0.023812724283273006,0.6403723555454798,0.0,0.0,0.0,0.3358149201712471,0.0
