,ORCL,JNJ,MSFT,KO,TMO,AMZN,PG
0,0.0,0.018208694922664918,0.36538357219637857,0.0,0.24186050772412548,0.19141153665941865,0.18313568849741235
1,0.0,0.0,0.5008747314913367,0.0,0.19423561069235318,0.16736739939298423,0.13752225842332594
2,0.0,0.0,0.43724709638342846,0.0,0.20447574528880683,0.19713767942524046,0.16113947890252409
3,0.0,0.0,0.44897417530945566,0.0,0.21439527110892367,0.14864148505044716,0.1879890685311736
4,0.0,0.0,0.4543006503384466,0.0,0.16057750623664205,0.1409943121910234,0.24412753123388795
5,0.0,0.0,0.45790870138564094,0.0,0.21320112405286698,0.09625045737541357,0.23263971718607845
6,0.0,0.0,0.46232164979447027,0.0,0.12135302116592142,0.11018116927116142,0.306144159768447
7,0.0,0.0,0.3761452461225192,0.0,0.021909866359591613,0.19510469184607865,0.40684019567181073
8,0.0,0.0,0.43278802069008193,0.0,0.0,0.19622569916188976,0.3709862801480283
9,0.0,0.0,0.3751586174238742,0.0,0.019598486219374992,0.22696235856216765,0.37828053779458326
10,0.0,0.0,0.3734752523349618,0.0,0.0,0.27697207717228634,0.34955267049275196
11,0.0,0.0,0.44976999936914513,0.0,0.0,0.28447751606451394,0.265752484566341
12,0.0,0.0,0.4103991589451094,0.0,0.0,0.30840399400997,0.28119684704492054
13,0.0,0.0,0.3544618495523474,0.0,0.0,0.3380759777108613,0.3074621727367914
14,0.0,0.0,0.41839490324989204,0.0,0.0,0.32650422514946653,0.25510087160064143
15,0.0,0.0,0.37240968959097115,0.0,0.0,0.3655999358673259,0.26199037454170293
16,0.0,0.0,0.30546545157651955,0.0,0.0,0.4286605184411997,0.2658740299822809
17,0.0,0.0,0.34716335595841635,0.0,0.0,0.4028063007042972,0.25003034333728646
18,0.0,0.0,0.29768162427156253,0.0,0.0,0.4290283245955027,0.2732900511329348
19,0.0,0.0,0.45971655483764706,0.0,0.15072627851550885,0.17076313669120302,0.21879402995564115
20,0.0,0.0,0.4589556800933483,0.0,0.11738316484147701,0.18380646612126883,0.23985468894390588
21,0.0,0.0,0.5144906050644065,0.0,0.02720686775581197,0.17249719837667501,0.2858053288031066
22,0.0,0.0,0.5754531602647119,0.0,0.16728168785354414,0.09337949827485038,0.16388565360689364
23,0.0,0.0,0.7268666210972659,0.0,0.01273336409318528,0.09616344511802687,0.1642365696915221
24,0.0,0.0,0.7531405738169695,0.0,0.0,0.04341119811942179,0.20344822806360863
25,0.0,0.0,0.7920378208446417,0.0,0.0,0.003702639811297709,0.20425953934406044
26,0.0,0.0,0.6907489538047954,0.0,0.04685739991555368,0.0,0.262393646279651
27,0.0,0.0,0.6852203373760128,0.0,0.0754209690340905,0.0,0.23935869358989653
28,0.0,0.0,0.6842923779083687,0.0,0.06433980689676105,0.0,0.25136781519487017
29,0.0,0.0,0.6954331350082942,0.0,0.04021061929090068,0.0,0.2643562457008052
30,0.0,0.0,0.6540763232304184,0.0,0.11616946085851937,0.0,0.2297542159110623
31,0.0,0.0,0.6329980083779367,0.0,0.17312507301129001,0.0,0.19387691861077316
32,0.0,0.0,0.6668312243422985,0.0,0.1354861653153077,0.0,0.19768261034239387
33,0.0,0.0,0.6301023215658728,0.0,0.1314336861577449,0.0,0.23846399227638243
34,0.0,0.0,0.7220205018332786,0.0,0.0,0.0,0.27797949816672163
35,0.0,0.0,0.7245185564149753,0.0,0.0,0.0,0.27548144358502463
36,0.0,0.0,0.780333152020018,0.0,0.0,0.0,0.219666847979982
37,0.0,0.0,0.68488468463089,0.0,0.0,0.0,0.31511531536911014
38,0.0,0.0,0.7173550317183771,0.0,0.04750522448566183,0.0,0.23513974379596095
39,0.0,0.0,0.7534317353668584,0.0,0.02730151973726915,0.0,0.21926674489587245
40,0.0,0.0,0.6822875596922741,0.0,0.1139231871523012,0.0,0.20378925315542482
41,0.0,0.0,0.6271440185934162,0.0,0.10624439858171655,0.0,0.26661158282486713
42,0.0,0.0,0.6195852367225072,0.0,0.19133999285805395,0.0,0.18907477041943893
43,0.0,0.0,0.6055597635010761,0.0,0.16317220917321054,0.0,0.2312680273257133
44,0.0,0.0,0.6575344993316705,0.0,0.1290500644044072,0.0,0.21341543626392237
45,0.0,0.0,0.5319500372976084,0.0,0.20787563033474524,0.0,0.26017433236764637
46,0.0,0.0,0.5733503180531566,0.0,0.19000323200393857,0.0,0.23664644994290496
47,0.0,0.0,0.6707205531542406,0.0,0.10791080333303951,0.0,0.2213686435127198
48,0.0,0.0,0.6934038607304659,0.0,0.07313441747947531,0.0,0.23346172179005878
49,0.0,0.0,0.7214258488437166,0.0,0.03631580667036359,0.0,0.2422583444859198
50,0.0,0.0,0.8353567637493734,0.0,0.0,0.0,0.16464323625062668
