,CAT,GS,F,GOOG,KO,BRK-B,V
0,0.0,0.0,0.0,0.015029397278206257,0.0,0.22264454583978838,0.7623260568820055
1,0.0,0.0,0.0,0.0,0.0,0.18629943454767914,0.813700565452321
2,0.0,0.0,0.0,0.0,0.014458742004840716,0.10054825388309611,0.884993004112063
3,0.0,0.0,0.0,0.0,0.023392318811628246,0.12322898035845668,0.853378700829915
4,0.0,0.0,0.0,0.0,0.043599470430835036,0.06462771431034096,0.891772815258824
5,0.0,0.0,0.0,0.0,0.09998914709450615,0.025485768843851724,0.8745250840616422
6,0.0,0.0,0.0,0.0,0.07145573267763894,0.11630184280733641,0.8122424245150247
7,0.0,0.0,0.0,0.0,0.1689033543566325,0.13881752906322778,0.6922791165801396
8,0.0,0.0,0.0,0.0,0.13968723729349716,0.15999259470015473,0.7003201680063481
9,0.0,0.0,0.0,0.0,0.18974757944095028,0.026634154599225926,0.7836182659598238
10,0.0,0.0,0.0,0.0,0.07813056681379768,0.0,0.9218694331862023
11,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,0.020156788973385027,0.0,0.0,0.0,0.0,0.0,0.9798432110266149
19,0.1552689998638691,0.0,0.0,0.1813330796515473,0.0,0.0,0.6633979204845837
20,0.15578508781204628,0.0,0.0,0.18099246488559292,0.0,0.0,0.6632224473023608
21,0.172054335701151,0.0,0.0,0.11722295460599286,0.0,0.0,0.710722709692856
22,0.1738399112971186,0.0,0.0,0.37714352548449326,0.0,0.0,0.44901656321838823
23,0.20103541565155358,0.0,0.0,0.4171370127320269,0.0,0.0,0.38182757161641967
24,0.22278279686587674,0.0,0.0,0.42063845250856674,0.0,0.0,0.35657875062555666
25,0.2356351552075824,0.0,0.0,0.41322420525664233,0.0,0.0,0.3511406395357753
26,0.2609282617105381,0.0,0.0,0.37448139750107823,0.0,0.0,0.3645903407883835
27,0.2771622273443868,0.0,0.0,0.3612464116251065,0.0,0.0,0.3615913610305068
28,0.23846315211896696,0.0,0.0,0.3863687000393152,0.0,0.0,0.37516814784171776
29,0.26138363588725644,0.0,0.0,0.4786529378878622,0.0,0.0,0.2599634262248815
30,0.2692171776414931,0.0,0.0,0.37697458194568223,0.0,0.0,0.35380824041282477
31,0.31179206706188556,0.0,0.0,0.41946909760281403,0.0,0.0,0.2687388353353005
32,0.25324386151475414,0.0,0.0,0.5428663851074325,0.0,0.0,0.20388975337781334
33,0.23853598107207608,0.0,0.0,0.49097911015105977,0.0,0.0,0.2704849087768641
34,0.20408303031732583,0.0,0.0,0.48802316757452385,0.0,0.0,0.30789380210815015
35,0.16378118762219762,0.0,0.0,0.46067122322280196,0.0,0.1528858159982317,0.22266177315676858
36,0.170031213771758,0.0,0.0,0.47607302501039156,0.0,0.09037394852777098,0.2635218126900796
37,0.2325190060683542,0.0,0.0,0.2941949029329072,0.0,0.0389264028548181,0.4343596881439207
38,0.2767050480790126,0.0,0.0,0.31348505342701705,0.0,0.0,0.4098098984939704
39,0.13364848756515205,0.0,0.0,0.3997487026126802,0.11318937159230864,0.0,0.3534134382298591
40,0.191286295338772,0.0,0.0,0.3616243564039739,0.07945638618618886,0.0,0.3676329620710652
41,0.049423277862548014,0.0,0.0,0.3948201037924179,0.10689128610157399,0.0,0.44886533224346004
42,0.0549334318360649,0.0,0.0,0.41215874615607073,0.0,0.0,0.5329078220078642
43,0.14910587119149885,0.0,0.0,0.2903009707289422,0.018492505901234493,0.0,0.5421006521783245
44,0.18534821920358463,0.0,0.0,0.292896534397479,0.10627501016875913,0.0,0.41548023623017727
45,0.2929137357866545,0.0,0.0,0.13205206042279583,0.20593358038855597,0.0,0.3691006234019938
46,0.24810245131635514,0.0,0.0,0.1451212241761785,0.05620624002908268,0.0,0.5505700844783837
47,0.2947936497150744,0.0,0.0,0.02272787776256601,0.0010313126484847847,0.0,0.6814471598738746
48,0.16056952071937372,0.0,0.0,0.23171482466092178,0.04730314798035393,0.0,0.5604125066393506
49,0.09301304711246079,0.0,0.0,0.27223284571149553,0.09683090272704041,0.0,0.5379232044490033
50,0.05745814693258995,0.0,0.0,0.5035770705748466,0.02097780367076671,0.0,0.4179869788217968
