,JNJ,META,WMT,AA,AMZN,V,GLW
0,0.1806385345066848,0.20674793246269005,0.006590492280217787,0.0,0.08192631870634307,0.45398954563819843,0.07010717640586599
1,0.18779805589206983,0.22354597119990313,0.020660904892960862,0.0,0.074910149449557,0.44168939611543034,0.05139552245007883
2,0.14501195457864824,0.13800299938377783,0.06786151468810125,0.0,0.08618744802793384,0.5368146472193608,0.026121436102178125
3,0.14811333215994754,0.1335569484049832,0.07278073288967597,0.0,0.07983530396984118,0.53091285612677,0.034800826448782025
4,0.062462149700620764,0.14541682159933594,0.10228809413991956,0.0,0.03813591082645262,0.651697023733671,0.0
5,0.04166330228044688,0.1635258710439077,0.10709580874926002,0.0,0.0,0.6877150179263855,0.0
6,0.07421440106145077,0.14519240777462994,0.15028610036940623,0.0,0.023635203336662948,0.6066718874578501,0.0
7,0.09141402049226219,0.05673514603124724,0.1598780227047319,0.0,0.07166451454891781,0.6203082962228409,0.0
8,0.09291836153617325,0.046610935934578504,0.16834313433103268,0.0,0.08065905870260243,0.6114685094956132,0.0
9,0.027414413555962212,0.10499968271400349,0.15171625325944676,0.0,0.08381765588228465,0.632051994588303,0.0
10,0.0,0.05419540780039905,0.09195987368159812,0.0,0.12772543125267183,0.726119287265331,0.0
11,0.0,0.057092273888560176,0.08234716152960148,0.0,0.19395030457693224,0.666610260004906,0.0
12,0.0,0.0,0.18393214363378213,0.0,0.3075184447565151,0.5085494116097027,0.0
13,0.0,0.0,0.19400901220333222,0.0,0.3323330197324576,0.47365796806421007,0.0
14,0.0,0.0,0.1788941368653937,0.0,0.254087582896128,0.5670182802384783,0.0
15,0.0,0.0,0.1481022229656999,0.0,0.3534019481908988,0.4984958288434013,0.0
16,0.0,0.0,0.20168910120809203,0.0,0.5119688101823742,0.2863420886095339,0.0
17,0.0,0.0,0.18631922693546527,0.0,0.49472654884227063,0.31895422422226394,0.0
18,0.0,0.0,0.2481526586476684,0.0,0.5723796673323571,0.17946767401997438,0.0
19,0.0,0.0,0.28119478231426165,0.0,0.5987870298462429,0.12001818783949549,0.0
20,0.0,0.0,0.3105230936987168,0.0,0.5154278639921371,0.1740490423091462,0.0
21,0.0,0.0,0.25694016068971604,0.0,0.48888081461339133,0.2541790246968928,0.0
22,0.0,0.0,0.32012507567251985,0.0,0.5572579521916586,0.1226169721358214,0.0
23,0.0,0.0,0.27189234543438306,0.0,0.4764317109469693,0.2516759436186477,0.0
24,0.0,0.0,0.3176349543352133,0.0,0.418085143070515,0.251388380291759,0.012891522302512802
25,0.0,0.0,0.3162923534851706,0.0,0.4011006902986446,0.26714805514695483,0.01545890106923002
26,0.0,0.0,0.39489789630574157,0.0,0.3042621523078094,0.2682792947916352,0.03256065659481384
27,0.0,0.0,0.3844892844375962,0.0,0.31680607644659076,0.29870463911581296,0.0
28,0.0,0.0,0.4603436797594204,0.0,0.21974794741551815,0.3199083728250613,0.0
29,0.0,0.0,0.4971290162256512,0.0,0.24918089113729608,0.2536900926370528,0.0
30,0.0,0.0,0.45021256429259854,0.0,0.24889691380043769,0.3008905219069638,0.0
31,0.0,0.0,0.39232311753796534,0.0,0.36175101635051626,0.2459258661115183,0.0
32,0.0,0.0,0.33182995247110497,0.0,0.5082582788920047,0.15991176863689033,0.0
33,0.0,0.0,0.3379223666482145,0.0,0.41071175853257286,0.25136587481921274,0.0
34,0.0,0.0,0.33037645973327656,0.0,0.27076609050681094,0.33137666399665533,0.06748078576325728
35,0.0,0.0,0.3083426217423394,0.0,0.3213220379155332,0.3384514443463524,0.03188389599577496
36,0.0,0.0,0.2988952829498789,0.006792916284137686,0.3124816676024095,0.38183013316357395,0.0
37,0.0,0.0,0.4463501655280046,0.0,0.1331009658188303,0.42054886865316515,0.0
38,0.0,0.0,0.30507383490677054,0.0,0.17647773758696175,0.5184484275062677,0.0
39,0.08995744491482181,0.0,0.28564482928761936,0.0,0.10725877738866892,0.5171389484088899,0.0
40,0.03583439148868692,0.0,0.3200249249900067,0.0,0.17668176048532894,0.4674589230359776,0.0
41,0.0,0.0,0.33755040661352226,0.0,0.1720520198797542,0.49039757350672347,0.0
42,0.010652794866862455,0.0,0.4311965895780984,0.0,0.15763653290792035,0.4005140826471187,0.0
43,0.03560449173261168,0.0,0.49747473544606924,0.0,0.05202258024669115,0.41489819257462796,0.0
44,0.0,0.0,0.5404103345114131,0.0,0.022859977568703966,0.436729687919883,0.0
45,0.012088919003476684,0.0,0.5076356396171452,0.0,0.0,0.4802754413793781,0.0
46,0.0,0.0,0.45275965431433746,0.0,0.0,0.5472403456856625,0.0
47,0.0,0.0,0.46879967741104184,0.0,0.0,0.5312003225889582,0.0
48,0.0,0.0,0.4992643894284508,0.0,0.0,0.5007356105715491,0.0
49,0.0,0.0,0.4968089959032482,0.0,0.0,0.5031910040967518,0.0
50,0.0,0.0,0.5228497594038889,0.0,0.10377335903754414,0.3733768815585669,0.0
