,GOOGL,GIS,DIS,V,ORCL,INTC,AVGO
0,0.018608971626201863,0.0,0.0,0.487392113709859,0.0,0.027438959094890244,0.4665599555690489
1,0.0,0.0,0.0,0.526918550946248,0.0,0.018503357739049372,0.45457809131470267
2,0.0,0.0,0.0,0.6583514122678599,0.0,0.0,0.3416485877321401
3,0.0,0.0,0.0,0.6549762791798461,0.0,0.0,0.3450237208201538
4,0.0,0.0,0.0,0.6644178631530214,0.0,0.0,0.3355821368469787
5,0.0,0.0,0.0,0.6614970216823454,0.0,0.0,0.3385029783176546
6,0.0,0.0,0.0,0.6217541174831391,0.0,0.03964779330293235,0.3385980892139284
7,0.0,0.0,0.0,0.6192692411214733,0.0,0.090185556477606,0.2905452024009207
8,0.0,0.0,0.0,0.6162265690385517,0.0,0.09852054483721161,0.28525288612423666
9,0.0,0.0,0.0,0.6689926083215273,0.0,0.08070560513793966,0.250301786540533
10,0.0,0.0,0.0,0.7316984991194686,0.0,0.05647685998786341,0.21182464089266811
11,0.0,0.0,0.0,0.7764043955814358,0.0,0.0,0.22359560441856421
12,0.0,0.0,0.0,0.7916449672356913,0.0,0.0,0.2083550327643087
13,0.0,0.0,0.0,0.7730229967556298,0.0,0.0,0.22697700324437026
14,0.0,0.0,0.0,0.8261067672126708,0.0,0.0,0.17389323278732916
15,0.0,0.0,0.0,0.8097836011596634,0.0,0.0,0.19021639884033661
16,0.0,0.0,0.0,0.7733081592309118,0.0,0.0,0.2266918407690881
17,0.0,0.0,0.0,0.7778830891409296,0.0,0.0,0.2221169108590705
18,0.0,0.0,0.0,0.7347149159854025,0.0,0.0,0.2652850840145976
19,0.18849869803126473,0.0,0.0,0.5258711821582441,0.0,0.0,0.2856301198104912
20,0.18322202520556308,0.0,0.0,0.5626102496339963,0.0,0.0,0.25416772516044056
21,0.12581483710341504,0.0,0.0,0.6211571868827314,0.0,0.0,0.2530279760138534
22,0.33467269519139414,0.0,0.0,0.2657605658948252,0.0,0.0,0.3995667389137807
23,0.3699504267829118,0.0,0.0,0.2979509137271142,0.0,0.0,0.33209865948997397
24,0.360331133149941,0.0,0.0,0.25522124542484503,0.0,0.0,0.38444762142521405
25,0.33483332128774584,0.0,0.0,0.2596661863492687,0.0,0.0,0.4055004923629855
26,0.30978731132003895,0.0,0.0,0.2602604322417237,0.0494457899404544,0.0,0.3805064664977828
27,0.31266335403239803,0.0,0.0,0.2849174767022069,0.04473312816932461,0.0,0.35768604109607055
28,0.30727399731606625,0.0,0.0,0.23972942949136988,0.08058918652275246,0.0,0.3724073866698114
29,0.3917919004253868,0.0,0.0,0.11220329038541986,0.12749711890282522,0.0,0.368507690286368
30,0.3125273614138968,0.0,0.0,0.17801809652150716,0.2116831402516008,0.0,0.2977714018129952
31,0.3294528760024928,0.0,0.0,0.1115277492768487,0.19505489822829264,0.0,0.3639644764923659
32,0.397514031044378,0.0,0.0,0.036254080462175396,0.1126128734017361,0.0,0.45361901509171054
33,0.3878198927872521,0.0,0.0,0.07168821581718623,0.05452797871390309,0.0,0.48596391268165856
34,0.4041469936217153,0.0,0.0,0.16816320086492373,0.0,0.0,0.427689805513361
35,0.4183116690176337,0.0,0.0,0.13428478399133434,0.0,0.0,0.447403546991032
36,0.4283393001924046,0.0,0.0,0.17074948624938543,0.0,0.0,0.4009112135582098
37,0.2153599682179213,0.0,0.0,0.3426363402165395,0.0,0.0,0.44200369156553926
38,0.23963913234317355,0.0,0.0,0.317240991696232,0.0,0.0,0.4431198759605943
39,0.27432217414747356,0.13948980330456623,0.0,0.25041291796498355,0.0,0.0,0.33577510458297655
40,0.23664842080221346,0.14185416746802113,0.0,0.2451453689675208,0.04079091544081458,0.0,0.3355611273214302
41,0.2270939724914261,0.2019981122553607,0.0,0.28061442165716705,0.0,0.0,0.2902934935960461
42,0.18778782353359896,0.252688829733767,0.0,0.26411816443667974,0.0,0.0,0.2954051822959543
43,0.1386700539136612,0.27105150288001584,0.0,0.35389972122105834,0.0,0.0,0.2363787219852647
44,0.14100672815450416,0.31842185465101974,0.0,0.2753051020625858,0.0,0.0,0.26526631513189025
45,0.0252706112602956,0.3585867286660792,0.0,0.2874777437848484,0.0,0.0,0.32866491628877664
46,0.0021040901741353223,0.31005342060730295,0.0,0.3559352781937245,0.0,0.0,0.3319072110248372
47,0.0,0.36257823028393754,0.0,0.297203292121068,0.0,0.0,0.3402184775949945
48,0.024775803474405448,0.3947257146300494,0.0,0.24273083351295605,0.0,0.0,0.3377676483825891
49,0.06101118590230643,0.4237052347751447,0.0,0.22748165640667875,0.0,0.0,0.2878019229158702
50,0.10822992047721039,0.4321921273203126,0.0,0.09522421601032714,0.0,0.0,0.36435373619214995
