,AAPL,GIS,CVX,CSCO,CAT,DIS,MSFT
0,0.23892178553273297,0.0,0.0,0.12310129249867739,0.0,0.10745836176719784,0.5305185602013919
1,0.14892977456825657,0.0,0.0,0.08474364635659,0.0,0.10935651955490847,0.656970059520245
2,0.0324922715820066,0.0,0.0,0.16570344778286578,0.0,0.15559656996525728,0.6462077106698703
3,0.06548218832021695,0.0,0.0,0.15741290228020308,0.0,0.11225603119795141,0.6648488782016285
4,0.06223403164190599,0.0,0.0,0.2080560900400179,0.0,0.09485115438564594,0.6348587239324303
5,0.0786326559159833,0.0,0.0,0.11259152216747591,0.0,0.08804100517086318,0.7207348167456776
6,0.11563698166367947,0.0,0.0,0.10245697114154707,0.0,0.0,0.7819060471947734
7,0.25000520496294004,0.0,0.0,0.025894938686429888,0.0,0.0,0.72409985635063
8,0.2494801768269413,0.0,0.0,0.0,0.0,0.0,0.7505198231730588
9,0.28449806265056726,0.0,0.0,0.0,0.0,0.0,0.7155019373494328
10,0.22406000902187934,0.0,0.0,0.0,0.0,0.0,0.7759399909781207
11,0.1316419429053311,0.0,0.0,0.0,0.0,0.0,0.8683580570946688
12,0.08805801851387202,0.0,0.0,0.0,0.0,0.0,0.9119419814861279
13,0.09294022429189441,0.0,0.0,0.0,0.0,0.0,0.9070597757081055
14,0.11321478306462475,0.0,0.0,0.0,0.0,0.0,0.8867852169353753
15,0.14158806519606862,0.006215846311281658,0.0,0.0,0.0,0.0,0.8521960884926497
16,0.18461367172167942,0.0,0.0,0.0,0.0,0.0,0.8153863282783206
17,0.1668271959094185,0.0,0.0,0.0,0.0,0.0,0.8331728040905816
18,0.16604020699522398,0.0,0.0,0.0,0.0,0.0,0.8339597930047761
19,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,0.0,0.0,0.0,0.0,0.023395499159268758,0.0,0.9766045008407314
21,0.0,0.0,0.0,0.0,0.032514181573088455,0.0,0.9674858184269114
22,0.0,0.0,0.0,0.0,0.025951637754778985,0.0,0.9740483622452211
23,0.0,0.0,0.0,0.0,0.08725868026292495,0.0,0.9127413197370748
24,0.0,0.0,0.0,0.0,0.09300866914341122,0.0,0.9069913308565888
25,0.0,0.0,0.0,0.0,0.10900290119131628,0.0,0.8909970988086837
26,0.0,0.0,0.0,0.0,0.11873331949003524,0.0,0.8812666805099647
27,0.0,0.0,0.0,0.0,0.1470208192953914,0.0,0.8529791807046087
28,0.0,0.0,0.0,0.0,0.12674437095381852,0.0,0.8732556290461814
29,0.0,0.0,0.0,0.0,0.12788457574308268,0.0,0.8721154242569172
30,0.0,0.0,0.0,0.0,0.12793781654540579,0.0,0.8720621834545941
31,0.002543750334466578,0.0,0.0,0.019700774184757804,0.15746634606344728,0.0,0.8202891294173283
32,0.007030195580858873,0.0,0.0,0.0,0.07196214013964292,0.0,0.9210076642794982
33,0.025621237372169866,0.0,0.0,0.0,0.08530797938183267,0.0,0.8890707832459975
34,0.10759861764191427,0.0,0.0,0.0,0.05516321107861527,0.0,0.8372381712794703
35,0.09863190489709665,0.0,0.0,0.0,0.0533115674671385,0.0,0.8480565276357649
36,0.11086802819906222,0.0,0.0,0.0,0.06271758829541739,0.0,0.8264143835055203
37,0.12528072058583115,0.0,0.0,0.0,0.06750547714165413,0.0,0.8072138022725146
38,0.10091287247987944,0.0,0.0,0.0,0.08984641945463566,0.0,0.8092407080654848
39,0.04415021940904587,0.019311547233427803,0.0,0.0,0.0,0.0,0.9365382333575263
40,0.08083300729569842,0.029921251122357894,0.0,0.0,0.008938358346860718,0.0,0.8803073832350828
41,0.13086807001949965,0.0847469463328788,0.0,0.0,0.0,0.0,0.7843849836476215
42,0.12430666698568582,0.11621384834418624,0.0,0.0,0.0,0.0,0.7594794846701279
43,0.17746174285913133,0.15127778025775215,0.0,0.0,0.0238659234851965,0.0,0.6473945533979201
44,0.03354997399241169,0.19116520776976317,0.0,0.0,0.0247613461934008,0.0,0.7505234720444242
45,0.0,0.21448709405850405,0.0,0.0,0.07368602954665132,0.0,0.7118268763948445
46,0.03195326355356511,0.1847531891961624,0.0,0.0,0.06271379280272617,0.0,0.7205797544475463
47,0.0175493971213373,0.2105590806865619,0.0,0.0,0.03308166527164262,0.0,0.7388098569204582
48,0.04563574817565963,0.22552565760629678,0.0,0.0,0.009882254985911307,0.0,0.718956339232132
49,0.040526959497150045,0.2399657839805295,0.0,0.0,0.0,0.0,0.7195072565223206
50,0.0,0.23531990837073613,0.0,0.0,0.0,0.0,0.764680091629264
