,BAC,GOOG,XOM,KO,BA,AAPL,PFE
0,0.015195267996873148,0.1740298897869685,0.0,0.0,0.3018924583089023,0.3039710759328687,0.20491130797438745
1,0.04192561878228863,0.20464586111521188,0.0,0.0,0.3167698451841531,0.31016062219350876,0.1264980527248378
2,0.0,0.2173975837282422,0.0,0.05625976238039707,0.2790177842077549,0.1981889642656044,0.24913590541800146
3,0.019965268810106525,0.1580003789759669,0.0,0.09850924443348334,0.22307361993911148,0.2355930231947039,0.2648584646466278
4,0.06779229827521263,0.20629963354324204,0.0,0.15894806827992963,0.1797864803995254,0.2527463865112846,0.1344271329908057
5,0.0,0.21450753500107225,0.0,0.249132255010301,0.28123941412374126,0.23807253460631364,0.017048261258571774
6,0.017004285310538908,0.1834685672674199,0.0,0.1859888366475611,0.2843828679353445,0.27056958076343046,0.0585858620757052
7,0.0,0.036451353614548425,0.0,0.32748932680428144,0.2077789181404732,0.322518737362841,0.1057616640778559
8,0.0231301011615697,0.03367625175752973,0.0,0.3133622522213003,0.23031854745135594,0.33787581695882957,0.06163703044941466
9,0.010886961479576544,0.10967060301582277,0.0,0.29193490997625676,0.178363170039136,0.33132172629171286,0.07782262919749502
10,0.02171370633976124,0.1952759706343322,0.0,0.26146958854862395,0.15598477424990181,0.3056231263902978,0.05993283383708297
11,0.0,0.295622160709252,0.0,0.1779619406861426,0.14703594893641472,0.3465010843374226,0.03287886533076817
12,0.0,0.3265214603679031,0.0,0.0,0.0,0.5163921945272354,0.15708634510486164
13,0.0,0.3246978989060819,0.0,0.0,0.0,0.44914883997823235,0.2261532611156857
14,0.0,0.3859197803331693,0.0,0.0,0.0,0.43871325939122807,0.17536696027560245
15,0.0,0.37505309466219955,0.0,0.0,0.0,0.5908518545863292,0.03409505075147142
16,0.0,0.38609184694706744,0.0,0.0,0.0,0.5331499765970252,0.08075817645590744
17,0.0,0.4711937125209046,0.0,0.0,0.0,0.49888646134570974,0.02991982613338579
18,0.0,0.4209730202878883,0.0,0.0,0.0,0.5688238198978389,0.01020315981427273
19,0.0,0.5642401540930966,0.0,0.0,0.0,0.43575984590690336,0.0
20,0.0,0.5866437502368704,0.0,0.0,0.0,0.41335624976312946,0.0
21,0.0,0.526843696283977,0.0,0.0,0.0,0.47315630371602313,0.0
22,0.0,0.5761187717308892,0.0,0.0,0.0,0.4238812282691108,0.0
23,0.0,0.6944056237123277,0.0,0.0,0.0,0.3055943762876723,0.0
24,0.0,0.6918204879550053,0.0,0.0,0.0,0.3081795120449948,0.0
25,0.0,0.6556206616471665,0.0,0.0,0.0,0.3443793383528335,0.0
26,0.0,0.6362065037409596,0.0,0.0,0.0,0.3422189018677457,0.02157459439129486
27,0.0,0.6074171133679896,0.0,0.0,0.0,0.35695885343764944,0.03562403319436084
28,0.0,0.5831263248219929,0.0,0.0,0.0,0.35519669722843916,0.06167697794956808
29,0.0,0.5340763503018183,0.0,0.0,0.0,0.3478547487340125,0.1180689009641693
30,0.011340162355174642,0.4337063600197839,0.0,0.0,0.0,0.47608320459831266,0.07887027302672883
31,0.11413718992160767,0.3515725047651418,0.0,0.0,0.0,0.4584142364464591,0.07587606886679141
32,0.11078783944321681,0.2999043994675477,0.0,0.0,0.0,0.42390093983145266,0.1654068212577828
33,0.0920708989839609,0.2888858296952408,0.0,0.0,0.0,0.41212121508596605,0.20692205623483217
34,0.08338244711625492,0.3079039835369697,0.0,0.0,0.0,0.5799398645934046,0.02877370475337086
35,0.08151408188750249,0.3392471978421254,0.0,0.0,0.0,0.5792387202703722,0.0
36,0.07789722130683356,0.36952386238941737,0.0,0.0,0.0,0.5525789163037489,0.0
37,0.056225712049054334,0.13989547775442335,0.0,0.1678588686224826,0.0,0.6360199415740397,0.0
38,0.031013950897804024,0.1818144063449775,0.0,0.15111327053954052,0.0,0.5865604049707964,0.049497967246881526
39,0.0,0.18900448555808685,0.0,0.20770739332961446,0.0,0.5127053065218268,0.09058281459047211
40,0.0,0.17009232043255196,0.0,0.1877628999120381,0.0,0.5330198616836653,0.10912491797174455
41,0.0,0.14776535045921216,0.0,0.2447396324823745,0.0,0.5867644228625375,0.02073059419587595
42,0.0,0.12653500137518975,0.0,0.13497585327550865,0.0,0.6863456471124745,0.052143498236827145
43,0.0,0.02947307327248553,0.0,0.20870362975016132,0.0,0.6689704408606489,0.09285285611670419
44,0.0,0.10193774062756987,0.0,0.2618877523080505,0.0,0.5246715878499241,0.11150291921445547
45,0.0,0.0,0.0,0.35429693418814207,0.0,0.46456102845482833,0.18114203735702958
46,0.0,0.0,0.014302320213958863,0.29982692854681586,0.0,0.5943487033564676,0.0915220478827576
47,0.0,0.0,0.019070004164704907,0.22723937697449625,0.0,0.6665004607726229,0.0871901580881759
48,0.0,0.0,0.0,0.2725641843001738,0.0,0.7102048428137112,0.017230972886114887
49,0.0,0.0,0.021432455706050478,0.27950187570019336,0.0,0.6990656685937563,0.0
50,0.0,0.17354941936402643,0.0,0.15975634927335183,0.0,0.6666942313626215,0.0
