,C,GM,T,GS,TSLA,PG,MA
0,0.0,0.0,0.018071425745161754,0.0,0.06807175499473213,0.21614908197923197,0.6977077372808742
1,0.0,0.0,0.005358479948648416,0.0,0.04822666317458293,0.21318132408717308,0.7332335327895956
2,0.0,0.0,0.020591665752164312,0.0,0.0,0.1945574363880236,0.7848508978598121
3,0.0,0.0,0.04165277996780627,0.0,0.0,0.22674937338700135,0.7315978466451923
4,0.0,0.0,0.020959725056015177,0.0,0.013346940375060488,0.2568624329442986,0.7088309016246256
5,0.0,0.0,0.06706067514564679,0.0,0.024811605579243657,0.22070929238152087,0.6874184268935886
6,0.0,0.0,0.10711056285312873,0.0,0.026000816147108127,0.26416513384870427,0.6027234871510588
7,0.0,0.0,0.12109913457140273,0.0,0.007542656037963742,0.27467476057502593,0.5966834488156076
8,0.0,0.0,0.14207653673089193,0.0,0.0,0.23542819307259552,0.6224952701965126
9,0.0,0.0,0.09401595112448191,0.0,0.022822861114690854,0.23439842926607804,0.6487627584947493
10,0.0,0.0,0.0784426018187355,0.0,0.03914549004130817,0.2081902759918684,0.6742216321480881
11,0.0,0.0,0.08370261578380592,0.0,0.058584929271174487,0.1384685968337952,0.7192438581112243
12,0.0,0.0,0.0,0.0,0.008361358642315192,0.28498550302424747,0.7066531383334372
13,0.0,0.0,0.0,0.0,0.017521593099698314,0.30063345358898375,0.681844953311318
14,0.0,0.0,0.0,0.0,0.0055321194998051455,0.2255520296814134,0.7689158508187813
15,0.0,0.0,0.0,0.0,0.04733400714130071,0.23414156651832166,0.7185244263403777
16,0.0,0.0,0.0,0.0,0.0629487955425046,0.26756846010467017,0.6694827443528252
17,0.0,0.0,0.0,0.0,0.05899831356167116,0.2486337176120591,0.6923679688262697
18,0.0,0.0,0.0,0.0,0.05728972488995172,0.27198319198227044,0.6707270831277777
19,0.0,0.0,0.0,0.0,0.06485946506802577,0.42430475003605467,0.5108357848959194
20,0.0,0.0,0.0,0.0,0.08247061146268826,0.42565682296095847,0.4918725655763534
21,0.0,0.0,0.0,0.0,0.09114447628300561,0.4278436131024456,0.48101191061454884
22,0.0,0.0,0.0,0.0,0.1409776121728123,0.42333015391851025,0.4356922339086774
23,0.0,0.0,0.0,0.0,0.10193640783293442,0.37811504896721865,0.5199485431998471
24,0.0,0.0,0.0,0.0,0.08321305021489475,0.4496143057501504,0.4671726440349548
25,0.0,0.0,0.0,0.0,0.08658858346448689,0.44634880629238155,0.4670626102431315
26,0.0,0.0,0.0,0.0,0.06563892416303954,0.5361879455342541,0.39817313030270657
27,0.0,0.0,0.0,0.0,0.07164817644320773,0.5100716225810508,0.4182802009757416
28,0.0,0.0,0.0,0.0,0.08858242884540067,0.5125929841976493,0.39882458695694994
29,0.0,0.0,0.0,0.0,0.0965452981742756,0.567098252467365,0.3363564493583592
30,0.0,0.0,0.0,0.0,0.10852155538206418,0.5178508502777457,0.3736275943401902
31,0.0,0.0,0.0,0.0,0.16680696247108767,0.44405967548710124,0.38913336204181104
32,0.0,0.0,0.0,0.0,0.1685636381729456,0.4818612747524478,0.3495750870746066
33,0.0,0.0,0.0,0.0,0.14292886557716197,0.5097995107630032,0.3472716236598348
34,0.0,0.0,0.0,0.0,0.1200117090173287,0.5047331073848276,0.37525518359784377
35,0.0,0.0,0.0,0.0,0.1349697895691893,0.49509139129492336,0.36993881913588744
36,0.0,0.0,0.0,0.0,0.16725363647140074,0.39087063533469896,0.4418757281939003
37,0.0,0.0,0.0,0.0,0.13157993076351682,0.457618705543592,0.4108013636928912
38,0.0,0.0,0.0,0.0,0.15292294683898597,0.35569854534538803,0.49137850781562603
39,0.0,0.0,0.0,0.0,0.18370517692278063,0.3909829093752391,0.4253119137019803
40,0.0,0.0,0.0,0.0,0.2070391476583769,0.3896724499904979,0.40328840235112523
41,0.0,0.0,0.0,0.0,0.19422729903687813,0.46813551703968,0.3376371839234418
42,0.0,0.0,0.0,0.0,0.25220549482595495,0.413532674874124,0.33426183029992107
43,0.0,0.0,0.0,0.0,0.18820189738749746,0.4009840395631776,0.4108140630493249
44,0.0,0.0,0.0,0.0,0.15809529367980676,0.43704694892911544,0.4048577573910777
45,0.0,0.0,0.0,0.0,0.08833798663540296,0.5086468279906236,0.4030151853739735
46,0.0,0.0,0.0,0.0,0.1078229500078473,0.4692813864270895,0.42289566356506314
47,0.0,0.0,0.0,0.0,0.1358405932401966,0.4737775181100151,0.3903818886497883
48,0.0,0.0,0.0,0.0,0.11634570621487023,0.5275405155978034,0.35611377818732637
49,0.0,0.0,0.0,0.0,0.1039547869624848,0.5389269462077266,0.35711826682978853
50,0.0,0.0,0.0,0.0,0.14443880704220183,0.4738274980124555,0.38173369494534265
