,HD,F,CVX,PEP,XOM,DE,GLW
0,0.48484498956010663,0.0,0.0,0.2140550913659353,0.0,0.19459040053346127,0.10650951854049669
1,0.5291937421610459,0.0,0.0,0.2265421888772853,0.0,0.1982755677639608,0.045988501197708184
2,0.5470680588019683,0.0,0.0,0.35473266486057925,0.0,0.054237997301419004,0.043961279036033626
3,0.525822299669883,0.0,0.0,0.34565431628327864,0.0,0.09559823825068987,0.03292514579614839
4,0.6087284290304898,0.0,0.0,0.2821897854956048,0.0,0.10908178547390546,0.0
5,0.6054149481266713,0.0,0.0,0.32720126440868325,0.0,0.06738378746464527,0.0
6,0.5839994318854841,0.0,0.0,0.3498993371444738,0.0,0.06610123097004218,0.0
7,0.5851473512993457,0.0,0.0,0.3271262773857593,0.0,0.08772637131489514,0.0
8,0.5138134064632294,0.0,0.0,0.38792938192590887,0.0,0.0982572116108619,0.0
9,0.5777046622715476,0.0,0.0,0.3380128492603607,0.0,0.08428248846809178,0.0
10,0.6320175702489031,0.0,0.0,0.33339575505580415,0.0,0.03458667469529258,0.0
11,0.7206809381218888,0.0,0.0,0.21727480148456133,0.0,0.06204426039354988,0.0
12,0.8302252246563233,0.0,0.0,0.13937934377416203,0.0,0.03039543156951475,0.0
13,0.7782830217759107,0.0,0.0,0.15397110826188568,0.0,0.06774586996220361,0.0
14,0.8035411541594117,0.0,0.0,0.10714618881743136,0.0,0.08931265702315686,0.0
15,0.8017637983226429,0.0,0.0,0.07613896029868274,0.0,0.1220972413786744,0.0
16,0.7622251476900106,0.0,0.0,0.08335858284494077,0.0,0.15441626946504866,0.0
17,0.7835447931281394,0.0,0.0,0.008163325302594868,0.0,0.2082918815692658,0.0
18,0.6109980977168866,0.0,0.0,0.13555441872666316,0.0,0.2534474835564501,0.0
19,0.5804146407165801,0.0,0.0,0.10168137409552898,0.0,0.31790398518789087,0.0
20,0.4934216056368684,0.0,0.0,0.15111121032422056,0.0,0.35546718403891114,0.0
21,0.3450993929060946,0.0,0.0,0.2822627794927931,0.0,0.3726378276011122,0.0
22,0.5029522775540659,0.0,0.0,0.11297079879989431,0.0,0.3840769236460398,0.0
23,0.4324722344088981,0.0,0.0,0.07927470075900485,0.0,0.488253064832097,0.0
24,0.43538928807748206,0.0,0.0,0.13098824422676938,0.0,0.4336224676957486,0.0
25,0.4490103083599042,0.0,0.0,0.10824111683879857,0.0,0.44274857480129715,0.0
26,0.2909353464834847,0.0,0.0,0.2293210311959205,0.0,0.47974362232059486,0.0
27,0.2804312234522383,0.0,0.0,0.19635669086036858,0.0,0.5232120856873931,0.0
28,0.26834836146645946,0.0,0.0,0.2102778802972288,0.0,0.5213737582363119,0.0
29,0.172450674361483,0.0,0.0,0.2808150134388086,0.0,0.5467343121997086,0.0
30,0.2846049769638939,0.0,0.0,0.19408648476170068,0.0,0.5213085382744055,0.0
31,0.3736029491880681,0.0,0.0,0.1649152854257329,0.0,0.4614817653861992,0.0
32,0.4546098165222398,0.0,0.0,0.11938949696037482,0.0,0.4260006865173854,0.0
33,0.3795300327351689,0.0,0.0,0.1842530585186354,0.0,0.43621690874619573,0.0
34,0.2656316862924211,0.0,0.0,0.25576406342095537,0.0,0.4786042502866237,0.0
35,0.15467311589535046,0.0,0.0,0.3028560083670044,0.0,0.542470875737645,0.0
36,0.15705577810987892,0.0,0.0,0.24623878184854595,0.0,0.5967054400415751,0.0
37,0.11041224327665847,0.0,0.0,0.3069180973244048,0.0,0.582669659398937,0.0
38,0.18352670415567704,0.0,0.0,0.28389906597868314,0.0,0.5325742298656398,0.0
39,0.17725844721912162,0.0,0.0,0.3479345675675774,0.0,0.4748069852133011,0.0
40,0.23627057418641673,0.0,0.0,0.3264796285927503,0.0,0.43724979722083296,0.0
41,0.12275324542580471,0.0,0.0,0.45711742580595505,0.0,0.4201293287682403,0.0
42,0.17768273950756766,0.0,0.0,0.3779938091880981,0.0,0.4443234513043343,0.0
43,0.12868755622469613,0.0,0.0,0.44396598433149603,0.0,0.42734645944380795,0.0
44,0.1684033513056177,0.0,0.0,0.357659971591729,0.0,0.4739366771026534,0.0
45,0.17843720978365046,0.0,0.0,0.31909069497032444,0.0,0.502472095246025,0.0
46,0.22737817306213937,0.0,0.0,0.22471988659321987,0.0,0.5479019403446409,0.0
47,0.15839364342524362,0.0,0.0,0.3059347562413656,0.0,0.5356716003333908,0.0
48,0.10050024390084752,0.0,0.0,0.41845710290194205,0.0,0.48104265319721057,0.0
49,0.15557682519893884,0.0,0.0,0.47982430624643074,0.0,0.3645988685546303,0.0
50,0.10795479420827203,0.0,0.0,0.4688243252780532,0.0,0.4232208805136748,0.0
