,NVDA,DIS,GOOGL,KO,TMO,MA,V
0,0.17842833854809065,0.0,0.0,0.07363541264310268,0.08925249097499859,0.44333020128471035,0.21535355654909785
1,0.27109347041892407,0.0,0.0,0.0015271382445907805,0.0,0.28490499451528123,0.44247439682120393
2,0.32983499322900334,0.0,0.0,0.0,0.10120353596907825,0.0,0.5689614708019185
3,0.3331234497364099,0.0,0.0,0.0,0.14372933194776427,0.003029893345338801,0.520117324970487
4,0.3639913777333365,0.0,0.0,0.0,0.09026085887930792,0.0,0.5457477633873555
5,0.38428485259839645,0.0,0.0,0.0,0.12460083564628885,0.0,0.49111431175531484
6,0.4176285425391426,0.0,0.0,0.0,0.19957718097069874,0.0,0.3827942764901586
7,0.42129533005388714,0.0,0.0,0.0,0.12354792623164265,0.0851084091833134,0.37004833453115676
8,0.43497816771338255,0.0,0.0,0.0,0.1892107233684625,0.10800083281551953,0.26781027610263536
9,0.42066119347547315,0.0,0.0,0.0,0.36134946556033304,0.0,0.21798934096419398
10,0.3557073705506546,0.0,0.0,0.0,0.29700482030304426,0.0,0.34728780914630114
11,0.34989470587491056,0.0,0.0,0.0,0.2910126112920697,0.0,0.3590926828330196
12,0.3675903610460112,0.0,0.0,0.0,0.4017209637172565,0.0,0.2306886752367322
13,0.40409997865944564,0.0,0.0,0.0,0.26062625430332453,0.0,0.3352737670372298
14,0.37205663463412186,0.0,0.0,0.0,0.2878028617146905,0.0,0.34014050365118753
15,0.38850078583113384,0.0,0.0,0.0,0.26349995507807183,0.0,0.3479992590907942
16,0.42793762325651225,0.0,0.0,0.0,0.3162314188160924,0.0,0.25583095792739524
17,0.45530670472084855,0.0,0.04662526406772026,0.0,0.28765111389403436,0.0,0.21041691731739692
18,0.41714791124188444,0.0,0.13401386218198544,0.0,0.30874280017801387,0.03057283544103585,0.1095225909570803
19,0.45057026694990904,0.0,0.15418074595669098,0.0,0.30190069764148103,0.013381052169517666,0.07996723728240139
20,0.4299719190756814,0.0,0.0822424487600665,0.0,0.38386645743753983,0.09335419071788861,0.010564984008823537
21,0.45358924046425775,0.0,0.09480460855121725,0.0,0.34303740798644206,0.10650394713410764,0.0020647958639753807
22,0.4638894635754768,0.0,0.07652439219335544,0.0,0.39369720770579636,0.02983998304820852,0.03604895347716287
23,0.40740994509945766,0.0,0.059336408106917024,0.022762848661453495,0.38832239503008054,0.12216840310209143,0.0
24,0.4059609927490664,0.0,0.0,0.13830990647759608,0.24279962747349879,0.13136458224564737,0.08156489105419149
25,0.46295194067434325,0.0,0.0,0.22175927248436875,0.1746629751180484,0.14062581172323946,0.0
26,0.40284754523672317,0.0,0.0,0.19665032359964896,0.26181508633760736,0.13868704482602046,0.0
27,0.2901983560945241,0.0,0.0,0.19261795955426558,0.29698541427119135,0.22019827008001897,0.0
28,0.28843497284429104,0.0,0.0,0.16524620935497886,0.32786043045472396,0.21845838734600614,0.0
29,0.2673145315574271,0.0,0.0,0.22060869960440407,0.35191620622119657,0.16016056261697237,0.0
30,0.2678928472180127,0.0,0.0,0.1936127163863363,0.35049437350409834,0.18800006289155285,0.0
31,0.26395063672284447,0.0,0.0,0.11828574190952365,0.3729822802091986,0.24478134115843309,0.0
32,0.23997845048001032,0.0,0.0,0.0,0.4864317892449948,0.2735897602749949,0.0
33,0.24300831583693824,0.0,0.0,0.0,0.44357216997051485,0.3134195141925469,0.0
34,0.26317999254230506,0.0,0.0,0.03594444779909956,0.417422910068072,0.2834526495905233,0.0
35,0.19486231801032847,0.0,0.0,0.022695794399804733,0.4564106159720217,0.3260312716178451,0.0
36,0.19578402758153163,0.0,0.0,0.0,0.42938816702594634,0.3748278053925221,0.0
37,0.2513489651765395,0.0,0.0,0.0,0.3873404024631495,0.36131063236031097,0.0
38,0.24008711540894465,0.0,0.0,0.0,0.4343421364914373,0.3255707480996179,0.0
39,0.23520317815777472,0.0,0.0,0.08907671075388432,0.3667486724296411,0.30897143865869986,0.0
40,0.29849599635286755,0.0,0.0,0.08514380047310979,0.3688590049601094,0.2475011982139132,0.0
