,CSCO,DE,FDX,AMZN,NVDA,INTC,GOOGL
0,0.11834676754559091,0.18064466664837167,0.0,0.257954560086523,0.30997576349148115,0.13307824222803327,0.0
1,0.11210288545248986,0.19109076649110102,0.0,0.2630383139748223,0.30640355596768826,0.12736447811389867,0.0
2,0.24335334453068538,0.0317420319213858,0.0,0.3993452043075018,0.2629009926761826,0.06265842656424433,0.0
3,0.25958882737782474,0.09319393810644087,0.0,0.33516491003532073,0.2710084054269418,0.04104391905347167,0.0
4,0.3652197088274685,0.09202470028673565,0.0,0.22268305103403027,0.3133576438447325,0.006714896007033074,0.0
5,0.2960802982622611,0.045382846182600974,0.0,0.23004306527138255,0.4048002391080669,0.02369355117568825,0.0
6,0.31252288074623535,0.05182375240765178,0.0,0.20363568106172347,0.4155544901391505,0.016463195645239036,0.0
7,0.1633881904321054,0.0864178140914756,0.0,0.25825109130234747,0.3625255862403042,0.12941731793376737,0.0
8,0.11136127563254335,0.07176033347969057,0.0,0.2930774160337733,0.3441083767025052,0.17969259815148772,0.0
9,0.11175924513570001,0.025489447550065533,0.0,0.349888646203016,0.3781838739985142,0.13467878711270437,0.0
10,0.0,0.0,0.0,0.5009578261131247,0.3212835672558582,0.17775860663101706,0.0
11,0.0,0.0,0.0,0.5031455222461876,0.464609918184148,0.0322445595696645,0.0
12,0.0,0.0,0.0,0.5187706009344568,0.4812293990655432,0.0,0.0
13,0.0,0.0,0.0,0.5312752073695951,0.46872479263040484,0.0,0.0
14,0.0,0.0,0.0,0.4878305750968767,0.5121694249031232,0.0,0.0
15,0.0,0.0,0.0,0.5136779651464705,0.4863220348535295,0.0,0.0
16,0.0,0.0,0.0,0.5583534371749036,0.44164656282509634,0.0,0.0
17,0.0,0.0,0.0,0.5332342890318413,0.46676571096815866,0.0,0.0
18,0.0,0.0,0.0,0.51679068739305,0.48320931260695,0.0,0.0
19,0.0,0.02490238603723905,0.0,0.45705008418451337,0.5180475297782475,0.0,0.0
20,0.0,0.08379326845378328,0.0,0.43565620300018665,0.4805505285460301,0.0,0.0
21,0.0,0.11394234418725051,0.0,0.4342196152350417,0.4518380405777078,0.0,0.0
22,0.0,0.16638528209201017,0.0,0.38310935169649346,0.45050536621149645,0.0,0.0
23,0.0,0.22217858148340294,0.0,0.3131588930334298,0.44208942689573233,0.0,0.022573098587434854
24,0.0,0.22035874482111562,0.0,0.2695323907764388,0.45468156422963585,0.0,0.0554273001728098
25,0.0,0.24127078728448223,0.0,0.22609847391994237,0.5265265259558067,0.0,0.006104212839768736
26,0.05891809577483524,0.28459704527481977,0.0,0.17336571529125205,0.4671888185178576,0.0,0.015930325141235314
27,0.033661731503830214,0.32088017459910917,0.0,0.18185081364268607,0.44402000221142346,0.0,0.019587278042951087
28,0.05590344172570589,0.31231735656899,0.0,0.09563837158716136,0.40920746112128,0.0,0.1269333689968628
29,0.0979677855756283,0.30111690111167005,0.0,0.06434352608924915,0.39941273835593555,0.0,0.13715904886751676
30,0.07054538374727226,0.3085465657862415,0.0,0.08962627501464662,0.44502173231745956,0.0,0.08626004313438014
31,0.16021341159308808,0.21284153227329894,0.0,0.1336538181365754,0.4563572763461028,0.0,0.03693396165093494
32,0.09426509504294316,0.1963292430597319,0.0,0.17812109435010506,0.47093360604841006,0.0,0.06035096149880975
33,0.1819249365591782,0.21121170785614463,0.0,0.1175454855430526,0.40865728395081447,0.0,0.08066058609081009
34,0.12055174197012404,0.2988075072396521,0.0,0.008281196625489604,0.39574862403648414,0.0,0.1766109301282502
35,0.11453822743957344,0.2981781930442052,0.0,0.040720819093935184,0.36778010171617254,0.0,0.17878265870611362
36,0.09409797771471447,0.3123927281062295,0.0,0.032331859418412365,0.3412829233542996,0.0,0.21989451140634408
37,0.03712158798442436,0.5668586940099498,0.0,0.0,0.3220809054500391,0.0,0.07393881255558672
38,0.0,0.510447960232323,0.0,0.0,0.3448383360571145,0.0,0.1447137037105625
39,0.0,0.42933142596865115,0.0,0.0,0.3035665093206261,0.0,0.2671020647107227
40,0.0,0.4266379373669076,0.0,0.0,0.3095091205855197,0.0,0.26385294204757276
41,0.0,0.5004256175058406,0.0,0.07079269984461743,0.16590254794604378,0.0,0.2628791347034982
42,0.0,0.5764276526991928,0.0,0.16606589569420754,0.07593406395296903,0.0,0.1815723876536307
43,0.0,0.6864154064721161,0.0,0.0,0.15026642792409012,0.0,0.16331816560379384
44,0.0,0.6887495328256426,0.0,0.0,0.23887073289172794,0.0,0.07237973428262935
45,0.0,0.8107363662287909,0.0,0.0,0.18926363377120914,0.0,0.0
46,0.0,0.6906493376822359,0.0,0.0,0.3093506623177642,0.0,0.0
47,0.0,0.6696447840146347,0.0,0.0,0.3303552159853653,0.0,0.0
48,0.003037715046745416,0.6003578459164834,0.0,0.0,0.39660443903677134,0.0,0.0
49,0.0,0.5518470221303657,0.0,0.0,0.42245354078170194,0.0,0.025699437087932254
50,0.0,0.5005630643649206,0.0,0.0,0.4471030796138496,0.0,0.052333856021229766
