,V,HD,BA,TMO,TSLA,PFE,META
0,0.4372874069988781,0.1545789510236929,0.13604077860546696,0.0,0.005281103022894927,0.05609555961842444,0.2107162007306426
1,0.47554601152795667,0.1789567889501276,0.12748309976529276,0.0,0.0,0.010826459058059151,0.2071876406985638
2,0.5578955749187966,0.15642467455851874,0.08996511160198155,0.0,0.0,0.058459703630740996,0.1372549352899621
3,0.5489530487264946,0.1750872163654639,0.0845814171591592,0.0,0.0,0.05968851316484349,0.13168980458403887
4,0.608129508876829,0.22290672394920216,0.03593226044593315,0.0,0.0,0.0,0.13303150672803576
5,0.5625245430608485,0.24899763112733211,0.04721199443608343,0.0,0.0,0.0,0.14126583137573598
6,0.471784307646066,0.3197831239672631,0.09090698650361849,0.0,0.0,0.0,0.11752558188305232
7,0.5244306105651392,0.36838456471534603,0.07601698934324945,0.0,0.0,0.0,0.031167835376265145
8,0.580042906956349,0.2740033436923692,0.11136023313806072,0.0,0.0,0.0,0.034593516213221154
9,0.579796610294509,0.24639920232393042,0.051214097377684197,0.0,0.0198905799284774,0.0,0.10269951007539878
10,0.677874335332558,0.1952319335314968,0.021973194995705436,0.0,0.03254816409719545,0.0,0.07237237204304425
11,0.6127678204034175,0.2528038728876628,0.0,0.0,0.04612694517368634,0.0,0.08830136153523348
12,0.7642994331373641,0.1678106808434468,0.0,0.06045249039460556,0.0028379706919751634,0.0,0.004599424932608072
13,0.778892885740138,0.1744116794576265,0.0,0.03379419730303427,0.012901237499201279,0.0,0.0
14,0.8697777034798987,0.06385663244052246,0.0,0.06636566407957879,0.0,0.0,0.0
15,0.7915285496117231,0.08466999826554761,0.0,0.08180316265484366,0.04199828946788545,0.0,0.0
16,0.5793819533240845,0.11307859476857018,0.0,0.24552212329908793,0.06201732860825747,0.0,0.0
17,0.5710450305872935,0.1442494044467579,0.0,0.199857981532349,0.0714458763696072,0.0,0.013401707063992453
18,0.4664155775088849,0.07391513692802294,0.0,0.38581080396695383,0.07385848159613848,0.0,0.0
19,0.32677559658908467,0.04270333068245928,0.0,0.5414308747176778,0.07890664933983361,0.0,0.0101835486709447
20,0.38728795675105315,0.0,0.0,0.5069447405181452,0.10444327022262878,0.0,0.001324032508172724
21,0.45003357128228444,0.0,0.0,0.4248957011349102,0.1250707275828053,0.0,0.0
22,0.2460826597717894,0.006313749798657416,0.0,0.6238309866421315,0.1237726037874217,0.0,0.0
23,0.4426392998891646,0.0,0.0,0.463095532403782,0.09426516770705357,0.0,0.0
24,0.39756888198623125,0.12468522930368058,0.0,0.4031476829903548,0.07459820571973343,0.0,0.0
25,0.39693596617920257,0.14216585440979201,0.0,0.38070437865513707,0.0801938007558683,0.0,0.0
26,0.409085806493217,0.04467888311588902,0.0,0.4857761797000801,0.060459130690813795,0.0,0.0
27,0.4192415015503064,0.002802551299219798,0.0,0.5200642874804945,0.05789165966997934,0.0,0.0
28,0.3921853507571253,0.0,0.0,0.533781220327589,0.0740334289152855,0.0,0.0
29,0.3221672519193462,0.0,0.0,0.5683566294109618,0.08495214418805833,0.0,0.02452397448163373
30,0.3273041468921219,0.0,0.0,0.5840777361997248,0.08861811690815324,0.0,0.0
31,0.2638900153819466,0.0009822991362933731,0.0,0.613093515210005,0.12203417027175488,0.0,0.0
32,0.17893652345952157,0.09946756493447574,0.0,0.5995658004247675,0.12203011118123512,0.0,0.0
33,0.22334740652480906,0.08372840738751756,0.0,0.5728821473286384,0.09851894376942888,0.021523094989606063,0.0
34,0.3599052315523815,0.017766506734402075,0.0,0.5192496787136558,0.10307858299956073,0.0,0.0
35,0.36674983624877006,0.0,0.0,0.50320033682678,0.1300498269244498,0.0,0.0
36,0.38088874012666046,0.0,0.0,0.48906429075579566,0.1300469691175438,0.0,0.0
37,0.3980903355907523,0.0,0.0,0.4818516267581466,0.12005803765110105,0.0,0.0
38,0.34433320086034236,0.0,0.0,0.5440354374662939,0.11163136167336386,0.0,0.0
39,0.3074835627696509,0.0,0.0,0.5630320051015878,0.1294844321287613,0.0,0.0
40,0.2682551831629044,0.0,0.0,0.6053393569651008,0.12640545987199475,0.0,0.0
41,0.2885339690231292,0.0,0.0,0.5784657786394154,0.13300025233745558,0.0,0.0
42,0.21534382221837509,0.0,0.0,0.6285170587227169,0.15613911905890807,0.0,0.0
43,0.3198887659536035,0.0,0.0,0.5689916643632492,0.11111956968314732,0.0,0.0
44,0.30072498373305767,0.0,0.0,0.6077668449960676,0.09150817127087459,0.0,0.0
45,0.2877471098407068,0.0,0.0,0.6871698807623934,0.025083009396899777,0.0,0.0
46,0.3241359868333167,0.0,0.0,0.6365837719854712,0.03928024118121211,0.0,0.0
47,0.29721148348649273,0.0,0.0,0.629645071981271,0.07314344453223649,0.0,0.0
48,0.3074177721361009,0.0,0.0,0.6336451211666273,0.05893710669727178,0.0,0.0
49,0.32257497487279985,0.0,0.0,0.6275950034350453,0.0498300216921548,0.0,0.0
50,0.3145825289402393,0.0,0.0,0.5827412006911505,0.10267627036861021,0.0,0.0
