,GIS,INTC,ORCL,CVX,T,V,PG
0,0.0,0.1535636000798457,0.0,0.0,0.005190947593536556,0.6457750897494804,0.19547036257713724
1,0.0,0.137878152187229,0.0,0.0,0.020547831949218907,0.6997166643000267,0.14185735156352558
2,0.0,0.0809738111061929,0.0,0.0,0.06805073393245385,0.7312116547197021,0.1197638002416512
3,0.0,0.08309479288099213,0.0,0.0,0.07089698968505746,0.7036815342473599,0.1423266831865906
4,0.0,0.0845231553375226,0.0,0.0,0.044584180173831575,0.7055288484805159,0.1653638160081299
5,0.0,0.0660048447110701,0.0,0.0,0.09504721901097794,0.7082506270023329,0.1306973092756191
6,0.0,0.10144655968077952,0.0,0.0,0.1214815092297464,0.6029773751236701,0.17409455596580398
7,0.0,0.12336240636374292,0.0,0.0,0.13100313395404703,0.550647835268687,0.19498662441352302
8,0.0,0.13314063471970602,0.0,0.0,0.14899705625953086,0.5588088741491258,0.15905343487163742
9,0.0,0.11868071692696974,0.0,0.0,0.11155985828668656,0.6065135951196818,0.16324582966666173
10,0.0,0.09862196496794817,0.0,0.0,0.09607525334800936,0.6879983243505257,0.11730445733351681
11,0.0,0.05628894238111498,0.0,0.0,0.1141434090160793,0.7803306958428774,0.049236952759928225
12,0.0,0.02463114453261602,0.0,0.0,0.0,0.7932614515049778,0.18210740396240618
13,0.0,0.0,0.0,0.0,0.0,0.7880929825182684,0.21190701748173163
14,0.0,0.0,0.0,0.0,0.0,0.8905084703200274,0.10949152967997278
15,0.0,0.0,0.0,0.0,0.0,0.8533965709009025,0.14660342909909752
16,0.0,0.0,0.0,0.0,0.0,0.7499901405091243,0.2500098594908756
17,0.0,0.0,0.0,0.0,0.0,0.7548220372741563,0.24517796272584363
18,0.0,0.0,0.0,0.0,0.0,0.7137443324920175,0.2862556675079825
19,0.0,0.0,0.0,0.0,0.0,0.5888636754141585,0.4111363245858415
20,0.0,0.0,0.0,0.0,0.0,0.5932822064775588,0.40671779352244114
21,0.0,0.0,0.0,0.0,0.0,0.5873892224065774,0.4126107775934227
22,0.0,0.040073885850972456,0.0,0.0,0.0,0.5408417073466741,0.41908440680235337
23,0.0,0.03660886838128749,0.0,0.0,0.0,0.576518012011914,0.38687311960679843
24,0.0,0.1110151657197004,0.0,0.0,0.0,0.46802347399505284,0.42096136028524683
25,0.0,0.0851685149184863,0.03809197654428105,0.0,0.0,0.45915571468890304,0.41758379384832944
26,0.0,0.06194877880675161,0.11841212163451104,0.0,0.0,0.3607673520469757,0.4588717475117617
27,0.0,0.02158953190880635,0.12279259853411868,0.0,0.0,0.4206624179330487,0.43495545162402627
28,0.0,0.0006710266856247562,0.15220962820387704,0.0,0.0,0.4093557754107004,0.43776356969979774
29,0.0,0.010946623091638784,0.20038772724573306,0.0,0.0,0.3165166956633165,0.4721489539993116
30,0.0,0.005652921928784957,0.2547264576149878,0.0,0.0,0.32719055654016566,0.41243006391606146
31,0.0,0.01652364469057978,0.31510058441679006,0.0,0.0,0.2883978327098061,0.37997793818282405
32,0.0,0.05771810307651454,0.26815217304448863,0.0,0.0,0.23370098269330186,0.4404287411856949
33,0.0,0.04678538385072393,0.21813839729470855,0.0,0.0,0.2602464325114673,0.4748297863431002
34,0.0,0.04894630169811777,0.17456378146123092,0.0,0.0,0.2946804675358854,0.4818094493047659
35,0.0,0.040101142847064494,0.15044180513971608,0.0,0.0,0.3074748656510962,0.5019821863621232
36,0.0,0.016396877763791663,0.17952761251759317,0.0,0.0,0.38686605842466243,0.4172094512939527
37,0.0,0.0,0.11766805206098938,0.0,0.0,0.368592978835568,0.5137389691034425
38,0.0,0.0,0.1175951914486735,0.06362437691968827,0.0,0.3830621427271133,0.43571828890452496
39,0.0,0.0,0.18898976391670527,0.0,0.0,0.37332953927509777,0.43768069680819693
40,0.0,0.0,0.24185498274580794,0.0,0.0,0.35952066944268635,0.3986243478115057
41,0.0,0.0,0.14912213896810056,0.0,0.0,0.3873092566743981,0.46356860435750136
42,0.0945088969386541,0.0,0.03164977648635068,0.0,0.0,0.48032199855655944,0.39351932801843587
43,0.11382813659513101,0.0,0.06973489776850862,0.0,0.0,0.4633874234962591,0.3530495421401011
44,0.15814169309534976,0.0,0.06254221266334348,0.0,0.0,0.4177068913566558,0.361609202884651
45,0.14851526699221027,0.0,0.035383141038084306,0.0,0.0,0.379922042930009,0.43617954903969647
46,0.11435572292855717,0.0,0.061725146435776285,0.0,0.0,0.43203909425583464,0.3918800363798319
47,0.19895166574517992,0.0,0.09291277697870493,0.0,0.0,0.3782257208442093,0.3299098364319058
48,0.24492296903095087,0.0,0.004039439981398519,0.0,0.0,0.4000832366117985,0.3509543543758521
49,0.2668080422180562,0.0,0.028493679836521395,0.0,0.0,0.361045023017631,0.3436532549277915
50,0.34745041627505757,0.0,0.20760527551659377,0.0,0.0,0.2497364916730769,0.19520781653527164
