,HD,AA,BA,MSFT,GOOG,ABBV,BAC
0,0.3022599396255239,0.0,0.25451263694684173,0.4432274234276344,0.0,0.0,0.0
1,0.26972703652719526,0.0,0.21964832204924392,0.5106246414235608,0.0,0.0,0.0
2,0.3055617414878695,0.0,0.19956484262113608,0.4948734158909945,0.0,0.0,0.0
3,0.32704438188350093,0.0,0.1615815334973336,0.5113740846191654,0.0,0.0,0.0
4,0.37517659782839796,0.0,0.11177095890630406,0.513052443265298,0.0,0.0,0.0
5,0.3996963626048114,0.0,0.12141757076659405,0.47888606662859434,0.0,0.0,0.0
6,0.3819779719745555,0.0,0.1299703312262754,0.488051696799169,0.0,0.0,0.0
7,0.4428117575141247,0.0,0.10507092299848275,0.4521173194873926,0.0,0.0,0.0
8,0.34593225364768815,0.0,0.14164493767142247,0.5124228086808894,0.0,0.0,0.0
9,0.38670399209248374,0.0,0.1067905317236699,0.5065054761838466,0.0,0.0,0.0
10,0.3848463011840187,0.0,0.08312906660165763,0.5320246322143237,0.0,0.0,0.0
11,0.4184281515219427,0.0,0.01492142601637943,0.566650422461678,0.0,0.0,0.0
12,0.3018230941839882,0.0,0.0,0.6981769058160116,0.0,0.0,0.0
13,0.310053817443744,0.0,0.0,0.689946182556256,0.0,0.0,0.0
14,0.32432218447406524,0.0,0.0,0.6756778155259348,0.0,0.0,0.0
15,0.3233995582441651,0.0,0.0,0.6766004417558348,0.0,0.0,0.0
16,0.3254515352424858,0.0,0.0,0.6745484647575141,0.0,0.0,0.0
17,0.32141170314027606,0.0,0.0,0.6785882968597239,0.0,0.0,0.0
18,0.29043515850478835,0.0,0.0,0.7095648414952117,0.0,0.0,0.0
19,0.17677868991960694,0.0,0.0,0.823221310080393,0.0,0.0,0.0
20,0.16507452982906706,0.0,0.0,0.8349254701709331,0.0,0.0,0.0
21,0.0924718691779307,0.0,0.0,0.9075281308220693,0.0,0.0,0.0
22,0.07762989736788319,0.0,0.0,0.9223701026321169,0.0,0.0,0.0
23,0.0,0.0,0.0,1.0,0.0,0.0,0.0
24,0.04664292050196485,0.0,0.0,0.953357079498035,0.0,0.0,0.0
25,0.04531417711830205,0.0,0.0,0.9546858228816979,0.0,0.0,0.0
26,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.9691097513238017,0.0,0.030890248676198377,0.0
28,0.0,0.0,0.0,0.9662097017173257,0.0,0.03379029828267436,0.0
29,0.0,0.0,0.0,0.9566532045945133,0.0,0.0433467954054868,0.0
30,0.004064698914863756,0.0,0.0,0.9901654185696206,0.0,0.005769882515515692,0.0
31,0.015342396188492558,0.0,0.0,0.9551923420988687,0.0,0.029465261712638652,0.0
32,0.037007830721277064,0.0,0.0,0.9519415998343368,0.0,0.011050569444386113,0.0
33,0.03485102741250947,0.0,0.0,0.9173838090550726,0.0,0.04776516353241808,0.0
34,0.0,0.0,0.0,0.9818441040926574,0.0,0.01815589590734253,0.0
35,0.0,0.0,0.0,0.9421315385108533,0.0,0.05786846148914675,0.0
36,0.0,0.0,0.0,0.9280459183826931,0.0,0.07195408161730707,0.0
37,0.0,0.0,0.0,0.9449402439682242,0.0,0.05505975603177581,0.0
38,0.0,0.0,0.0,0.9268099879160784,0.0,0.07319001208392166,0.0
39,0.0,0.0,0.0,0.8890599063998308,0.0,0.11094009360016928,0.0
40,0.0,0.0,0.0,0.8691188243143566,0.0,0.13088117568564345,0.0
41,0.0,0.0,0.0,0.8998842616602389,0.0,0.10011573833976116,0.0
42,0.0,0.0,0.0,0.8585727739825761,0.0,0.14142722601742383,0.0
43,0.0,0.0,0.0,0.8084330437529553,0.0,0.19156695624704478,0.0
44,0.0,0.0,0.0,0.8158868630994179,0.0,0.184113136900582,0.0
45,0.0,0.0,0.0,0.7985838388157214,0.0,0.2014161611842786,0.0
46,0.0,0.0,0.0,0.8350385645510068,0.0,0.16496143544899305,0.0
47,0.0,0.0,0.0,0.8170035290513391,0.0,0.18299647094866095,0.0
48,0.0,0.0,0.0,0.8621688166205835,0.0,0.1378311833794164,0.0
49,0.0,0.0,0.0,0.8681150813525681,0.0,0.1318849186474319,0.0
50,0.0,0.0,0.0,0.9247055562623495,0.0,0.07529444373765048,0.0
