,DIS,AVGO,PFE,META,TSLA,KO,F
0,0.0,0.45353621971542285,0.32699801128864164,0.21946576899593562,0.0,0.0,0.0
1,0.0,0.44998038581495453,0.3065069224760134,0.24351269170903203,0.0,0.0,0.0
2,0.0,0.3561507234481074,0.38630792384325174,0.23573976158078574,0.0,0.021801591127855142,0.0
3,0.0,0.35774198360708687,0.38676617708999944,0.2298628480978295,0.0,0.025628991205083988,0.0
4,0.028880899799306272,0.39076158739677563,0.2505642184893608,0.24231962658849765,0.0,0.08747366772605968,0.0
5,0.0,0.41103223539331224,0.13356530997737578,0.2656470230029908,0.0,0.18975543162632108,0.0
6,0.0,0.4071059540585718,0.16173637107254835,0.25081200667585535,0.0,0.18034566819302456,0.0
7,0.0,0.37311589815390483,0.16939787849509,0.19803424444758183,0.0,0.25945197890342336,0.0
8,0.018324714913228277,0.38716243870117434,0.15677284893663984,0.20044672513138861,0.0,0.23729327231756897,0.0
9,0.0,0.3239018669285505,0.16640267554545776,0.25979564506903563,0.0,0.24989981245695597,0.0
10,0.0,0.3212882161362612,0.14788734732236797,0.2621182130954232,0.041744891977946716,0.22696133146800107,0.0
11,0.0,0.352343323142238,0.11440663427271038,0.327134567806629,0.07922440476691982,0.12689107001150282,0.0
12,0.0,0.4721397547659565,0.15663240395282457,0.32461607338573806,0.046611767895480945,0.0,0.0
13,0.0,0.5037530137757896,0.19094898591155562,0.2485338737616338,0.056764126551021046,0.0,0.0
14,0.0,0.47421234113435357,0.17196793924049927,0.3052486081810451,0.04857111144410224,0.0,0.0
15,0.0,0.5570278089030956,0.025785313517295638,0.2975206862904528,0.11966619128915587,0.0,0.0
16,0.0,0.4535901160264615,0.08257663234667598,0.33609467324121006,0.12773857838565253,0.0,0.0
17,0.0,0.4412646455025715,0.056374288087318605,0.3575389848884473,0.14482208152166262,0.0,0.0
18,0.0,0.512423858443242,0.03760761952180681,0.2924504209702912,0.15751810106466,0.0,0.0
19,0.0,0.4793057677709773,0.0,0.3591393659016405,0.16155486632738233,0.0,0.0
20,0.0,0.42881163075476963,0.0,0.3689644419766665,0.20222392726856384,0.0,0.0
21,0.0,0.47660307997463847,0.0,0.2765062228351451,0.24689069719021647,0.0,0.0
22,0.0,0.5574433419976517,0.0,0.23306719938372691,0.20948945861862145,0.0,0.0
23,0.0,0.5553469862207684,0.0,0.2674158761444218,0.17723713763480986,0.0,0.0
24,0.0,0.6168385652052271,0.0,0.24533507298777207,0.13782636180700084,0.0,0.0
25,0.0,0.6506758051023088,0.0,0.2091204722611194,0.14020372263657177,0.0,0.0
26,0.0,0.5970420911006646,0.07869791602014224,0.21610378020204477,0.10815621267714827,0.0,0.0
27,0.0,0.5684428247080817,0.09749670350180922,0.2242139185811004,0.10984655320900866,0.0,0.0
28,0.0,0.6255567488472826,0.10444863540805122,0.12657311501341806,0.1434215007312482,0.0,0.0
29,0.0,0.5588926686815053,0.17227796454952576,0.14322436196601188,0.12560500480295708,0.0,0.0
30,0.0,0.5820340797915783,0.13991568300805338,0.10781081822055215,0.1702394189798162,0.0,0.0
31,0.0,0.6158414503180665,0.17815146171670246,0.0,0.20600708796523118,0.0,0.0
32,0.0,0.5601778222407747,0.2622598818175505,0.0,0.17756229594167472,0.0,0.0
33,0.0,0.5647034464569959,0.27995361022547716,0.0,0.15534294331752688,0.0,0.0
34,0.0,0.6610870597145572,0.15623140342000902,0.0,0.1826815368654338,0.0,0.0
35,0.0,0.7401741259552862,0.04021550860257555,0.0,0.21961036544213827,0.0,0.0
36,0.0,0.7166981019648349,0.04380427914385533,0.0,0.23949761889130977,0.0,0.0
37,0.0,0.6247061743755009,0.0,0.0,0.216587002084999,0.15870682353950005,0.0
38,0.0,0.5616153915685368,0.11417126542459936,0.0,0.19966563682558047,0.12454770618128345,0.0
39,0.0,0.39315975739065195,0.17097833924191871,0.0,0.2067883825916161,0.22907352077581317,0.0
40,0.0,0.403968229715737,0.1873108283077278,0.0,0.22656596644641036,0.18215497553012497,0.0
41,0.0,0.39119303482251083,0.09215530494865803,0.0,0.2557042272961006,0.2609474329327307,0.0
42,0.0,0.4167319966474104,0.13183782828232443,0.0,0.34608762272733656,0.10534255234292864,0.0
43,0.0,0.3291447017714838,0.19312021516528471,0.0,0.23442523528024384,0.24330984778298778,0.0
44,0.0,0.37918144450239066,0.15673083231687954,0.0,0.18776499677583391,0.27632272640489597,0.0
45,0.0,0.4078161174064701,0.19446681151971784,0.0,0.09753359664933313,0.300183474424479,0.0
46,0.0,0.520879013470647,0.10332110402461686,0.0,0.1387941529342143,0.23700572957052168,0.0
47,0.0,0.5610667544309494,0.10647662543347773,0.0,0.18169393210703802,0.15076268802853496,0.0
48,0.0,0.6108825986673845,0.0313481880420544,0.0,0.14931293762163064,0.2084562756689305,0.0
49,0.0,0.5626915232953071,0.0023984723337836717,0.0,0.13669601105661028,0.29821399331429904,0.0
50,0.0,0.6501429020988189,0.0,0.0,0.13143412369031135,0.21842297421086979,0.0
